"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
16,"避风塘茶楼","北京市海淀区万泉河路68号(城乡超市对面)","(010)82650712","美食;中餐厅","http://api.map.baidu.com/place/detail?uid=89fd4ea303326d5ee5e96534&output=html&source=placeapi_v2","176","","4.2",""
17,"七彩云南茶楼(广宁伯街店)","广宁伯街2号金泽大厦","(010)52601089","美食;茶座","http://api.map.baidu.com/place/detail?uid=7d5f3a0a6c8b64522db90886&output=html&source=placeapi_v2","11","","3.7",""
18,"王府茶楼养生宴(中轴路店)","朝阳区安华西里一区26号楼(歌华大酒店对面)","01064252588","美食;其他","http://api.map.baidu.com/place/detail?uid=7503683511abb1b65f0d02ef&output=html&source=placeapi_v2","93","","4.1",""
19,"露雨轩茶楼(和平街店)","和平东街十二区","(010)64206706","美食;中餐厅","http://api.map.baidu.com/place/detail?uid=1cea15a94778fcdc07fef550&output=html&source=placeapi_v2","62","","4",""
20,"清香林茶楼(万寿路店)","海淀区翠微南里21号楼","(010)68274954,(010)68223452","美食;咖啡厅","http://api.map.baidu.com/place/detail?uid=eb367503900ea40201ec01bc&output=html&source=placeapi_v2","60","","4.2",""
21,"汉宫茶楼","知春路甲20号4楼(近中国医药大厦)","","美食;茶座","http://api.map.baidu.com/place/detail?uid=53cebd5009a33f782b02e1ad&output=html&source=placeapi_v2","27","","4.5",""
22,"静茶楼","北京朝阳区胜古中路1号院3号楼8-8011室(近交通银行,肯德基)","(010)64436202","美食;茶座","http://api.map.baidu.com/place/detail?uid=4eca7c2581612f84601809ef&output=html&source=placeapi_v2","89","","3.4",""
23,"云鼎茶楼","北京朝阳区武圣北路,百环家园甲19号楼3楼(百环饭店往西200米,十字路口)","(010)67790678","美食;茶座","http://api.map.baidu.com/place/detail?uid=049d2c96038c1a5e4afc8daa&output=html&source=placeapi_v2","97","","4.3",""
24,"吴裕泰茶庄","雍和宫大街甲43","(010)51006388","购物;商铺","http://api.map.baidu.com/place/detail?uid=747689ad029f0e7d5fd4fe5a&output=html&source=placeapi_v2","180","","5",""
25,"张一元茶庄(阜外店)","北京市西城区阜成门外大街37-2号(天意市场向西50米)","010-68326519","购物;商铺","http://api.map.baidu.com/place/detail?uid=a3f21eee2772045d2eb17e87&output=html&source=placeapi_v2","18","","4.3",""
26,"吴裕泰茶庄","北京市西城区西单北大街6号","(010)66038351","购物;商铺","http://api.map.baidu.com/place/detail?uid=7d5f3a0a794e17522cb908c5&output=html&source=placeapi_v2","5","","3.9",""
27,"吴裕泰茶莊","地安门东大街119-1号","010-64028600","购物;商铺","http://api.map.baidu.com/place/detail?uid=08f1f1f5491156b788db73cb&output=html&source=placeapi_v2","261","","4.6",""
28,"世外茗庄茶楼","花家地南里5号楼","(010)84728550","美食;茶座","http://api.map.baidu.com/place/detail?uid=69fcd6df96627336ca291515&output=html&source=placeapi_v2","31","","4.2",""
29,"吴裕泰茶莊","北京市东城区鼓楼东大街297号","010-64014190","购物;商铺","http://api.map.baidu.com/place/detail?uid=373cf757bbd81b774254d786&output=html&source=placeapi_v2","191","","4.5",""
30,"张一元茶庄","昌平区天通苑东一区70B楼","(010)61756950","购物;商铺","http://api.map.baidu.com/place/detail?uid=bba87388c6d226b9bda82289&output=html&source=placeapi_v2","9","","4.2",""
31,"张一元茶庄(南小街店)","门内南小街20号楼底商34号(近大羊宜宾胡同西口)","010-65276437","购物;商铺","http://api.map.baidu.com/place/detail?uid=b533ea4af3818a584e6d46b3&output=html&source=placeapi_v2","18","","3.9",""
32,"张一元茶庄回龙观分店","昌平区回龙观北店嘉园27号","(010)81730027","购物;商铺","http://api.map.baidu.com/place/detail?uid=e85e25273ba3e24a95f08c3f&output=html&source=placeapi_v2","7","","4",""
33,"五品茶楼(鼓楼店)","旧鼓楼外大街38号(工人日报社)","(010)62379194","美食;茶座","http://api.map.baidu.com/place/detail?uid=2cc3c8e8935054cf4d2fdf55&output=html&source=placeapi_v2","21","","4.2",""
34,"张一元茶庄(亚运村店)","朝阳区慧忠北里309号楼117号（大屯路第五大道购物广场西侧）","(010)64803055","购物;商铺","http://api.map.baidu.com/place/detail?uid=5211d21944110b417cc876ef&output=html&source=placeapi_v2","20","","4.4",""
35,"吴裕泰茶庄","清华东路17号(近学清路)","010-62315668","购物;商铺","http://api.map.baidu.com/place/detail?uid=33fbfa832dd457d80af5eb86&output=html&source=placeapi_v2","18","","5",""
36,"张一元茶庄(灯市口店)","东四南大街122号(近内务部街)","(010)65121706","购物;商铺","http://api.map.baidu.com/place/detail?uid=16a61bb5c0be1a5c78b55cba&output=html&source=placeapi_v2","20","","4.3",""
37,"幽品茶楼(团结湖店)","团结湖北口3号楼","(010)65822280","美食;咖啡厅","http://api.map.baidu.com/place/detail?uid=b3aa435db3bc7712147643a1&output=html&source=placeapi_v2","105","","4.1",""
38,"金黄山茶庄","马连道路6号院-4-9","(010)81866958","购物;商铺","http://api.map.baidu.com/place/detail?uid=49d959389c09275ac61e51c5&output=html&source=placeapi_v2","10","","4.7",""
39,"张一元茶庄(天桥茶馆店)","万明路18号（东方饭店斜对面）","010-63163518","购物;商铺","http://api.map.baidu.com/place/detail?uid=6ee0102056216df653e5c58e&output=html&source=placeapi_v2","31","","4.1",""
40,"蜀南茶馆","北京市朝阳区惠新北里16号楼一层","010-64938250","美食;茶座","http://api.map.baidu.com/place/detail?uid=606ab0d086b0302a0f3ddaa2&output=html&source=placeapi_v2","12","","4.1",""
41,"五品茶楼(北京歌华开元大酒店东)","西城区黄寺大街3号安华西里一区26号楼","(010)84242173","美食;茶座","http://api.map.baidu.com/place/detail?uid=78bd50f7f058bb2530870abd&output=html&source=placeapi_v2","9","","4.3",""
42,"吴裕泰茶庄","安定门内大街160-1号(近事林家常菜)","010-64051950","购物;商铺","http://api.map.baidu.com/place/detail?uid=060f5e53e22cd1ce091cc786&output=html&source=placeapi_v2","11","","4.2",""
43,"千岛茉莉茶楼","北京市丰台区角门18号枫竹苑二区1号楼2层201、202(公益桥名流未来大厦2层)","(010)67042196","美食;茶座","http://api.map.baidu.com/place/detail?uid=ee69ce0071e10fa81d1d1134&output=html&source=placeapi_v2","72","","4.3",""
44,"张一元茶庄(怡海花园店)","丰台区怡海花园怡海路3-02号(近欧尚超市)","(010)63753287","购物;商铺","http://api.map.baidu.com/place/detail?uid=46e86fdd8e1b6e76d13ce3d6&output=html&source=placeapi_v2","13","","4.5",""
45,"吴裕泰茶庄（美术馆店）","美术馆后街65号楼(近2路总站)","010-64004334","购物;商铺","http://api.map.baidu.com/place/detail?uid=cdef4edf0319a75728d7ab16&output=html&source=placeapi_v2","12","","4.6",""
46,"吴裕泰茶莊","北京市西城区三里河月坛南街万芳商场西侧","(010)68537932","购物;商铺","http://api.map.baidu.com/place/detail?uid=74c933fb88b568479f82ea86&output=html&source=placeapi_v2","15","","4.1",""
47,"吴裕泰茶庄","北京市朝阳区大山子31号楼","(010)64345099","购物;商铺","http://api.map.baidu.com/place/detail?uid=75d0881a829745543a04b148&output=html&source=placeapi_v2","12","","3.4",""
48,"玉恒祥茶楼","莲宝路9号澐澐国际1楼(西三环外)","(010)63607878,(010)63607979","美食;茶座","http://api.map.baidu.com/place/detail?uid=e889a744299ef4ac8705bfb0&output=html&source=placeapi_v2","38","","3.8",""
49,"道一茶楼(健翔桥店)","北京朝阳区安翔里22号楼华盛乐章B座底商(健翔桥北)","(010)64830174","美食;咖啡厅","http://api.map.baidu.com/place/detail?uid=083a55fa883de260256e9886&output=html&source=placeapi_v2","39","","3.6",""
50,"益茗阁茶楼","北京朝阳区朝阳路新苑四号楼1楼","(010)65167618","美食;茶座","http://api.map.baidu.com/place/detail?uid=28891781550d82359cec2b0c&output=html&source=placeapi_v2","25","","5",""
51,"吴裕泰茶庄","北土城西路185号","(010)62373148","购物;商铺","http://api.map.baidu.com/place/detail?uid=d219bb1dc5acb492f40e77b3&output=html&source=placeapi_v2","16","","4",""
52,"吴裕泰茶庄","北京市朝阳区青年路29号院1-101","010-58779124","购物;商铺","http://api.map.baidu.com/place/detail?uid=5211d219d740fe587dc87647&output=html&source=placeapi_v2","24","","4",""
53,"吴裕泰茶庄（和平里北街店）","东城区和平里北街十四区1楼","010-64216531","购物;商铺","http://api.map.baidu.com/place/detail?uid=ffd6d4039f87819616b54b87&output=html&source=placeapi_v2","31","","4",""
54,"茗香茶楼(北太平庄店)","北京海淀区北太平庄路25号","(010)82028308","美食;茶座","http://api.map.baidu.com/place/detail?uid=4ce10ce6664cf6b8441a325b&output=html&source=placeapi_v2","17","","4.4",""
55,"圣仙厅茶庄","北京市海淀区万寿路西街甲7号中组部招待所1号楼1层","(010)68151929","美食;小吃快餐店","http://api.map.baidu.com/place/detail?uid=34059f9750fd624d70455b83&output=html&source=placeapi_v2","20","","4",""
56,"吴裕泰茶庄","广外马连道路6号院5-13北京国际茶城大门北侧第一间","(010)63344895","购物;商铺","http://api.map.baidu.com/place/detail?uid=46e86fddbecb1e76d03ce386&output=html&source=placeapi_v2","8","","3.8",""
57,"张一元茶庄","北京市丰台区方庄南路","(010)64076371","购物;商铺","http://api.map.baidu.com/place/detail?uid=b51929ae2ac5aeae1811d5b3&output=html&source=placeapi_v2","10","","5",""
58,"张一元茶庄昌平分店","昌平区鼓楼东街38号","(010)89701297","购物;商铺","http://api.map.baidu.com/place/detail?uid=5b25f44626fb18f3102935d5&output=html&source=placeapi_v2","8","","4",""
59,"满贤轩茶楼足道","北京市海淀区小营西路48号汇苑仁和大厦B1层","010-60605177","休闲娱乐;洗浴按摩","http://api.map.baidu.com/place/detail?uid=711238dc02d281ccc5effb1a&output=html&source=placeapi_v2","98","","4.5",""
60,"京师茶庄","北京朝阳区国家森林公园西门林萃路9号院5号楼(近国家网球中心)","(010)58210501,13381032505","美食;茶座","http://api.map.baidu.com/place/detail?uid=ea10e4b23a968936dbd891d3&output=html&source=placeapi_v2","26","","4.3",""
61,"吴裕泰茶庄","丰台区草桥东路16-4","(010)67504422","购物;商铺","http://api.map.baidu.com/place/detail?uid=a7c56ee0401632aaa2acc486&output=html&source=placeapi_v2","12","","5",""
62,"吴裕泰茶庄","海淀区双榆树北路甲2号(京海研修学院对面)","010-82119177","购物;商铺","http://api.map.baidu.com/place/detail?uid=8ab0dfc4e180460fd9eced86&output=html&source=placeapi_v2","23","","5",""
63,"吴裕泰茶庄","潘家园东里21号(近华威路)","010-87780190","购物;商铺","http://api.map.baidu.com/place/detail?uid=c8e8f633045c8475aa0dd886&output=html&source=placeapi_v2","6","","4.3",""
64,"茗青阁茶楼","北京市昌平区龙水路28号","18007966678","美食;茶座","http://api.map.baidu.com/place/detail?uid=46d221c11fa45bda704b87e5&output=html&source=placeapi_v2","21","","5",""
65,"逸方茶楼","北京市朝阳区北苑路172号16楼一层欧陆经典小区北门(近法宝超市)","010-84851522","美食;茶座","http://api.map.baidu.com/place/detail?uid=0ed20a154288958e57bfff54&output=html&source=placeapi_v2","19","","4.3",""
66,"吴裕泰茶庄（双井店）","朝阳区东三环南路双井桥南100米路东侧(农商行)","010-67751252","购物;商铺","http://api.map.baidu.com/place/detail?uid=bf29b702d733f1e409b93ad0&output=html&source=placeapi_v2","25","","3.7",""
67,"万宁茶庄","北京市房山区北坛胡同1号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=504d61137295ffb3465726c2&output=html&source=placeapi_v2","4","","",""
68,"张一元茶庄青塔分店","丰台区青塔西里8号楼1楼底商3号(北京华联超市青塔店北50米)","(010)68694429","购物;商铺","http://api.map.baidu.com/place/detail?uid=060f5e539358a0ce091cc7ba&output=html&source=placeapi_v2","7","","5",""
69,"未茗轩(未茗轩茶庄)","后沙峪安富路双裕小区北门西侧(近火沙路京密路国门一号)","(010)80491220,13699232765","美食;茶座","http://api.map.baidu.com/place/detail?uid=bb6a8827c3d754a6260bd047&output=html&source=placeapi_v2","39","","5",""
70,"吴裕泰茶庄林萃路店","北京市朝阳区德胜门北沙滩一号中国农机院东区19号楼地上一层","010-64871566","购物;商铺","http://api.map.baidu.com/place/detail?uid=923ffd005df60faed92f2810&output=html&source=placeapi_v2","9","","4.5",""
71,"龙熙露雨轩茶楼","北京市昌平区天通苑一区9号楼5门","010-84817809","美食;咖啡厅","http://api.map.baidu.com/place/detail?uid=bcaebff8cd2be64dc8e33ca6&output=html&source=placeapi_v2","9","","3.8",""
72,"吴裕泰茶庄(新源街店)","北京市朝阳区新源街18号","010-64656376","购物;商铺","http://api.map.baidu.com/place/detail?uid=61f634f6e0419c616b49f3cb&output=html&source=placeapi_v2","4","","3.7",""
73,"嘉沐堂茶楼","梨园南街326号","010-81594688","美食;茶座","http://api.map.baidu.com/place/detail?uid=101bc61b415596bac52ba1a8&output=html&source=placeapi_v2","58","","4.5",""
74,"张一元茶庄芍药居分店","朝阳区芍药居北里310号楼底商","(010)84611183","购物;商铺","http://api.map.baidu.com/place/detail?uid=161a0ed2797a80495cd4fe49&output=html&source=placeapi_v2","6","","3.6",""
75,"张一元茶庄(城乡仓储店)","北京市海淀区苏州街63-3号","15727328208","购物;商铺","http://api.map.baidu.com/place/detail?uid=f9befb5823ecaaa7f7b916b6&output=html&source=placeapi_v2","7","","5",""
76,"吴裕泰茶庄（马家堡店）","北京市丰台区马家堡路154号院底商","(010)67580485","购物;商铺","http://api.map.baidu.com/place/detail?uid=d82d6697dd24c1bfd518b7c4&output=html&source=placeapi_v2","16","","3.5",""
77,"吴裕泰(大屯茶庄店)","小营北路29号院1-6号","(010)64897523","购物;商铺","http://api.map.baidu.com/place/detail?uid=8d96925c0039e15cc0f1cf86&output=html&source=placeapi_v2","1","","5",""
78,"吴裕泰茶庄（安德路店）","安德路(安定门医院东侧)","(010)84125329","购物;商铺","http://api.map.baidu.com/place/detail?uid=50fb64fffefb6a44e8f8539d&output=html&source=placeapi_v2","23","","4.8",""
79,"吴裕泰茶庄","北京市西城区赵登禹路冠英园小区底商","010-66560236","购物;商铺","http://api.map.baidu.com/place/detail?uid=f757e6ee6a3ef50e260bd0cc&output=html&source=placeapi_v2","13","","5",""
80,"吴裕泰茶庄","北京市朝阳区农展馆北路枣营北路38号楼海悦名门商底105号","010-65063660","购物;商铺","http://api.map.baidu.com/place/detail?uid=9ee392b8dec29a58babd63eb&output=html&source=placeapi_v2","6","","4",""
81,"海中海茶楼","北洼西里11甲12楼甲12平房(如意商务酒店旁)","(010)68434282","美食;茶座","http://api.map.baidu.com/place/detail?uid=4780e150546deda72811d156&output=html&source=placeapi_v2","29","","4.6",""
82,"宽水茶庄","白纸坊东街甲12-4号","(010)63552171","美食;茶座","http://api.map.baidu.com/place/detail?uid=844a750e9296f1b9626858ed&output=html&source=placeapi_v2","10","","",""
83,"吉春五月茶楼","朝阳区南湖北路南湖中园130号2楼(旺角广场对面)","(010)64749315","美食;茶座","http://api.map.baidu.com/place/detail?uid=a5ef680f224dddceb8df8fae&output=html&source=placeapi_v2","13","","4.3",""
84,"吳裕泰茶莊","北京市海淀区清河毛纺路38号","010-82712004","购物;商铺","http://api.map.baidu.com/place/detail?uid=fa835ce2134bc2afe912e486&output=html&source=placeapi_v2","14","","3.2",""
85,"吴裕泰茶莊","青年沟路2-1","010-64240497","购物;商铺","http://api.map.baidu.com/place/detail?uid=5ce2637d993c2148af31e586&output=html&source=placeapi_v2","14","","3.8",""
86,"吴裕泰茶庄","北京市朝阳区望京中环南路6号望京医院大门左侧","010-64732228","购物;商铺","http://api.map.baidu.com/place/detail?uid=803708f11b8d8e6001897243&output=html&source=placeapi_v2","19","","3.8",""
87,"山水悦岩茶坊","大兴区亦庄经济技术开发区天宝中路上海沙龙商业二期02G016","(010)67809295","美食;茶座","http://api.map.baidu.com/place/detail?uid=d6c5d99140758af130169b55&output=html&source=placeapi_v2","200","","4.8",""
88,"张一元茶庄东高地分店","丰台区东高地梅园小区44号楼","(010)68759547","购物;商铺","http://api.map.baidu.com/place/detail?uid=4ea3f2f185d050b3afcb668c&output=html&source=placeapi_v2","8","","4.3",""
89,"张一元茶庄密云分店","密云新中街隆源大厦B座105号","(010)69081889","购物;商铺","http://api.map.baidu.com/place/detail?uid=fa01e9370a827053774ff144&output=html&source=placeapi_v2","16","","3.6",""
90,"吴裕泰茶莊","东城区崇文门西大街3-2号(近中国银行)","010-65160880","购物;商铺","http://api.map.baidu.com/place/detail?uid=550fd5f96f389360921fc986&output=html&source=placeapi_v2","21","","4.7",""
91,"香茗源茶楼","平安里西大街14号(航天金融大厦)","(010)66137613","美食;茶座","http://api.map.baidu.com/place/detail?uid=3da907f37cddf94ab320a850&output=html&source=placeapi_v2","37","","3.9",""
92,"友茗轩茶楼","西城区永安路173号(前门饭店)","(010)63033076","美食;咖啡厅","http://api.map.baidu.com/place/detail?uid=f9fd606278a57a060e0e6ba3&output=html&source=placeapi_v2","21","","3.9",""
93,"晓月茶楼","南华大街","(010)60534519","美食;茶座","http://api.map.baidu.com/place/detail?uid=9e6c9c1f5f7b0755c8c3db72&output=html&source=placeapi_v2","4","","4",""
94,"北京吴裕泰茶庄","北京市昌平区龙禧二街","","购物;商铺","http://api.map.baidu.com/place/detail?uid=b0d056f297a0c767cbc3db86&output=html&source=placeapi_v2","16","","4",""
95,"张一元茶庄昌平南环里分店","城北街道南环里26号楼底商","(010)89701297","购物;商铺","http://api.map.baidu.com/place/detail?uid=38f15e062e9bf7de2cb96dab&output=html&source=placeapi_v2","8","","",""
96,"吴裕泰茶庄乔庄店","北京市通州区乔庄北街248号","010-81547296","购物;商铺","http://api.map.baidu.com/place/detail?uid=637df60a7bdb676b41afe686&output=html&source=placeapi_v2","3","","",""
97,"正山堂茶庄","北京市海淀区厂洼路1号一层-5","(010)88411633","美食;茶座","http://api.map.baidu.com/place/detail?uid=1538347e958a11465d17c307&output=html&source=placeapi_v2","7","","",""
98,"叫渣渣川菜茶楼","北京东城区珠市口东大街4号楼3楼-A1室(近光明日报社、珍贝大厦)","(010)67015759","美食;中餐厅","http://api.map.baidu.com/place/detail?uid=10d7b0d8f910c340b5147f93&output=html&source=placeapi_v2","204","","3.9",""
99,"吴裕泰茶庄","北京市东城区南小街101号","(010)64012027","购物;商铺","http://api.map.baidu.com/place/detail?uid=2e00c5ddc30d0305d6851ff7&output=html&source=placeapi_v2","9","","4",""
100,"张一元茶庄(小西天分店)","文慧园路志强北园23号楼","(010)62246635","购物;商铺","http://api.map.baidu.com/place/detail?uid=b9e5d0b8a407c9a580a12e80&output=html&source=placeapi_v2","6","","3.8",""
101,"吴裕泰茶莊","北京市丰台区南三环中路17号","010-67696031","购物;商铺","http://api.map.baidu.com/place/detail?uid=6fddd7fd42e518663417dc86&output=html&source=placeapi_v2","7","","3.3",""
102,"吴裕泰茶庄(虎坊路店)","南横东街5-8号(近陶然北岸)","(010)51252762","购物;商铺","http://api.map.baidu.com/place/detail?uid=f696f3c2680ac3f21a11d586&output=html&source=placeapi_v2","16","","4.8",""
103,"元长厚茶庄(西便门店)","西城区复兴门南大街1-6号","(010)66020515","美食","http://api.map.baidu.com/place/detail?uid=783f9cdd8fda25bd9ee32164&output=html&source=placeapi_v2","9","","3",""
104,"茗都茶庄","北京海淀区阜成路乙57号近空军总医院","(010)68429188","美食;茶座","http://api.map.baidu.com/place/detail?uid=dffd4642622a41ab3c9a5e5b&output=html&source=placeapi_v2","14","","3.7",""
105,"怡然园茶楼","北京市石景山区翠园西街16号7附近","(010)68611988","美食;茶座","http://api.map.baidu.com/place/detail?uid=38e48037e2e3b450363a71e5&output=html&source=placeapi_v2","30","","4.9",""
106,"吴裕泰茶庄","朝阳区左家庄中街西口(柳芳东口东北角)","(010)64633549","购物;商铺","http://api.map.baidu.com/place/detail?uid=d991e116b2e705541f38942d&output=html&source=placeapi_v2","9","","4.6",""
107,"吴裕泰茶庄","北京市通州区新华西街通州万达广场B1层","010-69558780","购物;商铺","http://api.map.baidu.com/place/detail?uid=1eeed546c35a788fb5147f39&output=html&source=placeapi_v2","5","","1",""
108,"静逸轩茶楼","海淀区中关村南大街甲12号，环太大厦负1层(近北京理工大学、中国农业科学院)","","休闲娱乐;洗浴按摩","http://api.map.baidu.com/place/detail?uid=ed84b5ca7fedf2b72b11d151&output=html&source=placeapi_v2","111","","3.9",""
109,"福德厚茶庄(永安路)","永安路143-4号","(010)63035596","购物;商铺","http://api.map.baidu.com/place/detail?uid=2527be1ea314adb34afc8dea&output=html&source=placeapi_v2","8","","",""
110,"吴裕泰茶莊","北京市海淀区上地南路14号院一层底商","(010)62984468","购物;商铺","http://api.map.baidu.com/place/detail?uid=a305ea4a74b0d84754bfff5d&output=html&source=placeapi_v2","8","","4.5",""
111,"吴裕泰茶庄","北京市顺义区裕龙花园一区9号楼1单元102","010-69424826","购物;商铺","http://api.map.baidu.com/place/detail?uid=4ce10ce6b66a46dc441a3254&output=html&source=placeapi_v2","4","","",""
112,"文山春茶庄(裕龙二街)","裕龙二区7-8号(近裕龙二街)","","购物;商铺","http://api.map.baidu.com/place/detail?uid=02a6838e9b919e812d473389&output=html&source=placeapi_v2","4","","",""
113,"张一元茶庄(西罗园店)","丰台区西罗园一区15号","(010)87200898","购物;商铺","http://api.map.baidu.com/place/detail?uid=78bd50f7ce7fb92530870aa6&output=html&source=placeapi_v2","3","","",""
114,"吳裕泰茶莊","北太平庄桥西南北京电影洗印厂综合楼","(010)82081188","购物;商铺","http://api.map.baidu.com/place/detail?uid=7fd7231114ba40865cbe8613&output=html&source=placeapi_v2","15","","4.5",""
115,"吴裕泰茶庄北洼路店","北京市海淀区北洼路甲三号正豪大厦A座101号","010-88415364","购物;商铺","http://api.map.baidu.com/place/detail?uid=24d05508607a55b613882481&output=html&source=placeapi_v2","3","","4",""
116,"北京福盛轩茶楼","杨庄东街茂华璟都会璟公院1号楼底商","(010)88913288","美食;茶座","http://api.map.baidu.com/place/detail?uid=803708f12f4d9a6001897203&output=html&source=placeapi_v2","5","","4",""
117,"张一元茶庄(西便门店)","西城区广安门北滨河路2-3号(近西便门)","(010)83117651","购物;商铺","http://api.map.baidu.com/place/detail?uid=130f48c79bca5f0357bfffa3&output=html&source=placeapi_v2","5","","3.3",""
118,"张一元茶庄（静安庄店）","朝阳区静安里静安市场一层","(010)64667921","休闲娱乐","http://api.map.baidu.com/place/detail?uid=1bf85b25db644cbda0a9349a&output=html&source=placeapi_v2","1","","3.8",""
119,"吴裕泰茶庄","北京市朝阳区东四北大街533号","(010)64045458","购物;商铺","http://api.map.baidu.com/place/detail?uid=251374c940afce26a01de9a4&output=html&source=placeapi_v2","47","","3.7",""
120,"吴裕泰茶莊","北京市丰台区丰台镇新华街五里4号楼","010-63788805","购物;商铺","http://api.map.baidu.com/place/detail?uid=2ad32cc3aedec2969c95de86&output=html&source=placeapi_v2","10","","4.6",""
121,"锦裕泓祥茶庄","海淀区西翠路五棵松望西50米紫金长安小区东南门","(010)58987199","美食;茶座","http://api.map.baidu.com/place/detail?uid=e75bca969b3562d79e95defd&output=html&source=placeapi_v2","30","","4.5",""
122,"张一元茶庄（清河东店）","北京市海淀区清景园4号","(010)52718127","购物;商铺","http://api.map.baidu.com/place/detail?uid=10768026550accf958f6beb3&output=html&source=placeapi_v2","5","","3.7",""
123,"吴裕泰茶庄","北京市东城区光明路4号","010-67134292","购物;商铺","http://api.map.baidu.com/place/detail?uid=b292b3aa7b5ebc56bf48429d&output=html&source=placeapi_v2","16","","4",""
124,"吴裕泰茶庄（龙腾苑店）","昌平区文华西路回龙观龙腾苑四区4号楼底商","010-81720389","购物;商铺","http://api.map.baidu.com/place/detail?uid=fc7675242f3c97e34e776e44&output=html&source=placeapi_v2","1","","5",""
125,"元亨号茶庄","长辛店大街104号附近","(010)83868983","美食;咖啡厅","http://api.map.baidu.com/place/detail?uid=0f0ab0dfec8440d2c51e5135&output=html&source=placeapi_v2","1","","4",""
126,"张一元茶庄","青春路26号北京市怀柔区审计局旁(近怀柔百货大楼)","(010)69621168","购物;商铺","http://api.map.baidu.com/place/detail?uid=a1418eb4f9ed0766eae582ac&output=html&source=placeapi_v2","7","","4.5",""
127,"怡清泉茶楼","西城区德胜门外大街2-1(马甸桥东南角)","(010)82076012","美食;茶座","http://api.map.baidu.com/place/detail?uid=08fc93dfcdabec889b68b450&output=html&source=placeapi_v2","8","","4.3",""
128,"吴裕泰茶庄(南苑店)","南苑路与龙河路交叉口西100米路南","(010)67940263","购物;商铺","http://api.map.baidu.com/place/detail?uid=b137775ae4ad769bb6f42f3a&output=html&source=placeapi_v2","19","","",""
