序号	名称	地址	标签	百度链接	电话	营业时间	总体评分	签到数
22	烟酒茶	潞苑南大街238	购物;商铺	http://api.map.baidu.com/place/detail?uid=b5f1ca005e0e407cd22dd601&output=html&source=placeapi_v2				
23	烟酒茶	北京市通州区	购物;商铺	http://api.map.baidu.com/place/detail?uid=0611b733ad9974619c09f767&output=html&source=placeapi_v2				
24	烟酒茶	通胡大街80	购物;商铺	http://api.map.baidu.com/place/detail?uid=57995a61fca26e0b0f0a70c7&output=html&source=placeapi_v2			0	
25	烟酒茶	朝阳区北三环东路7号西坝河北里3号楼前平房底商	购物;商铺	http://api.map.baidu.com/place/detail?uid=cc936a7d7ee7c4e03517dc7a&output=html&source=placeapi_v2				
26	烟酒茶	北京市朝阳区	购物;商铺	http://api.map.baidu.com/place/detail?uid=25ec69fc2afcc97ec36c14be&output=html&source=placeapi_v2				
27	烟酒茶	张家湾太玉园底商	购物;商铺	http://api.map.baidu.com/place/detail?uid=53363df3896c33f05abbbc84&output=html&source=placeapi_v2				
28	烟酒茶	丰台区角门南路48号	购物;商铺	http://api.map.baidu.com/place/detail?uid=8f60f6383c082a7ce8e5824b&output=html&source=placeapi_v2				
29	烟酒茶	北京市海淀区远大路22号院-12	购物;商铺	http://api.map.baidu.com/place/detail?uid=2cc9b13d2f0724d9ee74f82e&output=html&source=placeapi_v2				
30	烟酒茶	北京市石景山区璟公院12号楼底商101号	购物;商铺	http://api.map.baidu.com/place/detail?uid=90085049c48f67f5ae31e5e1&output=html&source=placeapi_v2				
31	烟酒茶	北京市丰台区	购物;商铺	http://api.map.baidu.com/place/detail?uid=631c4157b8af006131f71d31&output=html&source=placeapi_v2				
32	烟酒茶	富强路132号	购物	http://api.map.baidu.com/place/detail?uid=c3fd4817348d6edaf7b9167e&output=html&source=placeapi_v2				
33	烟酒茶	北京市房山区	购物;商铺	http://api.map.baidu.com/place/detail?uid=db40ca2bf682c006028972d1&output=html&source=placeapi_v2				
34	烟酒茶	北京市朝阳区	购物;商铺	http://api.map.baidu.com/place/detail?uid=28dc0a3e621e8162a8059db4&output=html&source=placeapi_v2				
35	烟酒茶	朝阳区北土城东路	购物;商铺	http://api.map.baidu.com/place/detail?uid=1d76ab27b090cb182bb97c02&output=html&source=placeapi_v2				
36	烟酒茶	北京市东城区	购物;商铺	http://api.map.baidu.com/place/detail?uid=3eee30836f866d58631809ef&output=html&source=placeapi_v2			0	
37	烟酒茶	小红门路	购物;商铺	http://api.map.baidu.com/place/detail?uid=15cc458ab430bce10d3dda66&output=html&source=placeapi_v2				
38	烟酒茶	北京市丰台区马家堡西里2号	购物;商铺	http://api.map.baidu.com/place/detail?uid=eac4826ea461d26d4054d7dc&output=html&source=placeapi_v2				
39	烟酒茶	北京市大兴区	购物;商铺	http://api.map.baidu.com/place/detail?uid=738790e847036687f70e7771&output=html&source=placeapi_v2			0	
40	烟酒茶	中关村东路101-4附近	购物;商铺	http://api.map.baidu.com/place/detail?uid=8352cff633bc156932f71d3c&output=html&source=placeapi_v2				
41	烟酒茶	厂洼街5号鼎恒信商务大厦	购物;商铺	http://api.map.baidu.com/place/detail?uid=82dc9ad466217bcce115f985&output=html&source=placeapi_v2				
42	烟酒茶	怡秀园9	购物;商铺	http://api.map.baidu.com/place/detail?uid=e3b9a0d4585a641a90114c08&output=html&source=placeapi_v2				
43	名烟名酒烟酒茶	朝阳区文学馆路45号(芍药居北里南)	购物;商铺	http://api.map.baidu.com/place/detail?uid=0831bab59616b66d740269ed&output=html&source=placeapi_v2			4	
44	烟酒茶行	华严北里40号华严北里小区底商	购物;商铺	http://api.map.baidu.com/place/detail?uid=b08cf1a7856d1573e81e9797&output=html&source=placeapi_v2				
45	烟酒茶行	阜城门外大街3	购物;商铺	http://api.map.baidu.com/place/detail?uid=d6eaed6edbde89684e776efb&output=html&source=placeapi_v2				
46	烟酒茶行	永安路22-6	购物;商铺	http://api.map.baidu.com/place/detail?uid=0ce12ab9486b3ce707fef568&output=html&source=placeapi_v2				
47	烟酒茶	朝阳区阜通西大街(望京西园四区西南)	购物;商铺	http://api.map.baidu.com/place/detail?uid=0eb99e845f5b07bb40ab9a36&output=html&source=placeapi_v2				
48	烟酒茶行	大羊坊甲6号院2-5	购物;商铺	http://api.map.baidu.com/place/detail?uid=9520d84f2ecb089d08f5ebec&output=html&source=placeapi_v2				
49	烟酒茶	北京市丰台区方庄路芳城园三区北马路	购物;商铺	http://api.map.baidu.com/place/detail?uid=f451278bf3cb6fcad8d891a5&output=html&source=placeapi_v2				
50	名烟名酒茶	北京市海淀区	购物;商铺	http://api.map.baidu.com/place/detail?uid=10bcb48beb43c36e7adbd298&output=html&source=placeapi_v2				
51	烟酒茶	蓝靛厂观山园5-2号	购物;商铺	http://api.map.baidu.com/place/detail?uid=e9215d0af7955b6d72210bf6&output=html&source=placeapi_v2				
52	友谊烟酒茶	南邵	购物;商铺	http://api.map.baidu.com/place/detail?uid=5e53af1a192171224151c051&output=html&source=placeapi_v2				
53	烟酒茶商行	永安路	购物;商铺	http://api.map.baidu.com/place/detail?uid=e76c74a381659f4ed8d89194&output=html&source=placeapi_v2				
54	精品烟酒茶	朝阳区利泽中一路1号院1-2号	购物;商铺	http://api.map.baidu.com/place/detail?uid=3263147457b916d68c55ec6a&output=html&source=placeapi_v2				
55	烟酒茶经销	新街口外大街23号院5	购物;商铺	http://api.map.baidu.com/place/detail?uid=bac0e582ba61e621882fb53e&output=html&source=placeapi_v2				
56	爱心烟酒茶	新街口东街邱家胡同1号楼	购物;商铺	http://api.map.baidu.com/place/detail?uid=d21ae40c030f51b208ccddb0&output=html&source=placeapi_v2				
57	名烟名酒茶	玉桥东路34号(北京市通州区玉桥小学北)	购物;商铺	http://api.map.baidu.com/place/detail?uid=e6f2664d633daafc980050b9&output=html&source=placeapi_v2			0	
58	精品烟酒茶	垡头翠城馨园	购物;商铺	http://api.map.baidu.com/place/detail?uid=c9aa2d636cfca788f32d83ef&output=html&source=placeapi_v2				
59	烟酒茶商城	北京市海淀区	购物;商铺	http://api.map.baidu.com/place/detail?uid=33e9eee32b0e2fba0c0a70dc&output=html&source=placeapi_v2				
60	烟酒茶销售	北京市海淀区中关村南四街331号	购物;商铺	http://api.map.baidu.com/place/detail?uid=cf405fbf994a183dcb213d63&output=html&source=placeapi_v2				
61	精品烟酒茶	三里河东路A5楼底商(近月坛北街)	购物;商铺	http://api.map.baidu.com/place/detail?uid=6995e126fb8cab60b21e36fe&output=html&source=placeapi_v2			3	
62	平价烟酒茶	北京市海淀区	购物;商铺	http://api.map.baidu.com/place/detail?uid=809ba11ba0db28ceeb1e9709&output=html&source=placeapi_v2				
63	精品烟酒茶	玉泉路16号附近	购物;商铺	http://api.map.baidu.com/place/detail?uid=a006f203c27b2962afee7ae2&output=html&source=placeapi_v2				
64	精品烟酒茶	草桥欣园四区9号楼	购物;商铺	http://api.map.baidu.com/place/detail?uid=fa01e937e9db1334764ff1b2&output=html&source=placeapi_v2				
65	烟酒茶商行	北京市大兴区双河南巷	购物;商铺	http://api.map.baidu.com/place/detail?uid=b57ed8b4d2e940e0b04c49cb&output=html&source=placeapi_v2				
66	精品烟酒茶	行宫园二里10	购物;商铺	http://api.map.baidu.com/place/detail?uid=3f9337d6f3688bb0f62310b3&output=html&source=placeapi_v2				
67	精品烟酒茶	北京市房山区	购物;商铺	http://api.map.baidu.com/place/detail?uid=06ec77235c8d40d50f0a70c5&output=html&source=placeapi_v2				
68	烟酒饮料茶	顺平辅线43附近	购物;商铺	http://api.map.baidu.com/place/detail?uid=5af7432ec73265eaa104644b&output=html&source=placeapi_v2			0	
69	烟酒茶商行	北七家镇东三旗村533号	购物;商铺	http://api.map.baidu.com/place/detail?uid=ec292dbb4a72460dcafa5f1f&output=html&source=placeapi_v2				
70	名烟名酒茶	白家庄路临10-10	购物;商铺	http://api.map.baidu.com/place/detail?uid=81cde4de0da0d35457bfffea&output=html&source=placeapi_v2			3	
71	精品烟酒茶	安定路	购物;商铺	http://api.map.baidu.com/place/detail?uid=dd933dbf9bdc76d5acee7ace&output=html&source=placeapi_v2				
72	名酒名烟茶	玉桥东路18	购物	http://api.map.baidu.com/place/detail?uid=1dd267021e9000dd213bf2f0&output=html&source=placeapi_v2				
73	烟酒茶超市	北京市通州区科创九街	购物;商铺	http://api.map.baidu.com/place/detail?uid=8b597518982b23fdaeb22a51&output=html&source=placeapi_v2				
74	名烟名酒茶	北京市通州区	购物	http://api.map.baidu.com/place/detail?uid=e5aebdec9ef1ed3451e5c5dc&output=html&source=placeapi_v2			0	
75	烟酒茶专营	北京市丰台区南苑东路	购物;商铺	http://api.map.baidu.com/place/detail?uid=cb51e861e3ccbfcc08f5eb30&output=html&source=placeapi_v2				
76	烟酒茶超市	北京市房山区长虹东路	购物;商铺	http://api.map.baidu.com/place/detail?uid=bc83cc28a625d5494d2fdf67&output=html&source=placeapi_v2				
77	超市烟酒茶	北京市昌平区	购物;商铺	http://api.map.baidu.com/place/detail?uid=8155185e044761183be4a682&output=html&source=placeapi_v2				
78	烟酒茶超市	清秀园北区19号	购物;商铺	http://api.map.baidu.com/place/detail?uid=f6d1c3aa175954c09868b477&output=html&source=placeapi_v2				
79	高档烟酒茶	东坝中路28号院2	购物;商铺	http://api.map.baidu.com/place/detail?uid=ba22c0c370c0cd2c32870a7b&output=html&source=placeapi_v2			0	
80	烟酒茶销售	北京市朝阳区惠新东街11号	购物;商铺	http://api.map.baidu.com/place/detail?uid=9591757470efbbaf45e274a7&output=html&source=placeapi_v2				
81	精品烟酒茶	北京市朝阳区月河胡同2号	购物;商铺	http://api.map.baidu.com/place/detail?uid=96b672aac632b275cf04ef83&output=html&source=placeapi_v2				
82	烟酒茶经营	北京市西城区太平街6号富力·摩根中心D座1层	购物;商铺	http://api.map.baidu.com/place/detail?uid=feaa43b4e0570d4636b06c09&output=html&source=placeapi_v2			0	
83	名烟名酒茶	北京市东城区安定门内大街84号	购物;商铺	http://api.map.baidu.com/place/detail?uid=8e2647fd7621c73a9b68b4ab&output=html&source=placeapi_v2				
84	名烟名酒茶	北京市朝阳区东柏街9号院-2	购物;商铺	http://api.map.baidu.com/place/detail?uid=108a0d416d01fb32d7851f9e&output=html&source=placeapi_v2				
85	烟酒茶超市	左安门内大街10	购物;商铺	http://api.map.baidu.com/place/detail?uid=2d3265641a94d45cc7f0254b&output=html&source=placeapi_v2				
86	烟酒茶礼品	北京市西城区	购物	http://api.map.baidu.com/place/detail?uid=a8ac4c46169d6935b05c6af5&output=html&source=placeapi_v2				
87	烟酒茶服装鞋	南七家庄村主街南七家农贸市场对面	购物;商铺	http://api.map.baidu.com/place/detail?uid=801d2219edefcfac97ec8413&output=html&source=placeapi_v2				
88	精品烟酒茶行	黄寺大街双旗杆胡同3号25―26室间	购物;商铺	http://api.map.baidu.com/place/detail?uid=d408f2c8740e5062f8dc85c0&output=html&source=placeapi_v2				
89	发财树广告茶	果园西里(南区北一门)附近	公司企业;公司	http://api.map.baidu.com/place/detail?uid=493a0cfe0963a86bb75f1ed0&output=html&source=placeapi_v2				
90	名烟名酒茶行	宋庄路甲12号院5	购物;商铺	http://api.map.baidu.com/place/detail?uid=12fee7216a10cae97c29bdac&output=html&source=placeapi_v2				
91	一鸣绿谷烟酒茶	林荫南街9-34附近	购物;商铺	http://api.map.baidu.com/place/detail?uid=613d0c005719bb34c06c14d4&output=html&source=placeapi_v2				
92	名烟名酒茶	南环路28号(北京市昌平区人民法院南)	购物	http://api.map.baidu.com/place/detail?uid=dcdc49ffedc58b147fc87620&output=html&source=placeapi_v2				
93	军人服务社烟酒茶	翠微路38号	购物;商铺	http://api.map.baidu.com/place/detail?uid=26637465b7ba5f5cf50e77e3&output=html&source=placeapi_v2				
94	烟酒茶(马家堡店)	丰台区马家堡路260号	购物;商铺	http://api.map.baidu.com/place/detail?uid=d305db1f8fe01840922ca3ab&output=html&source=placeapi_v2				
95	烟酒茶北京特产超市	北京市东城区分司厅胡同	购物;商铺	http://api.map.baidu.com/place/detail?uid=e698664e3a2dea6a465726ae&output=html&source=placeapi_v2				
96	中国烟酒精品烟酒茶	北京市东城区王府井大街88号乐天银泰百货B1层	购物;商铺	http://api.map.baidu.com/place/detail?uid=5ffcd76a965ef00522f01759&output=html&source=placeapi_v2				
97	精品烟酒茶	和平街十三区1号附近	购物;商铺	http://api.map.baidu.com/place/detail?uid=d2bff867fc31481cd618b737&output=html&source=placeapi_v2				
98	云龙轩烟酒茶便利店	海淀区南三环西路辅路(万利来宾馆东北)	购物	http://api.map.baidu.com/place/detail?uid=cacd66242bbfc536373a7112&output=html&source=placeapi_v2				
99	腾云永富商店烟酒茶总汇	长安街1	购物;商铺	http://api.map.baidu.com/place/detail?uid=a1418eb49b1de502ebe58220&output=html&source=placeapi_v2				
100	蜀韵情家常茶	仁和镇裕龙花园六区44号楼蜀韵情饭店(现代学院东行500米十字路口东南处)	美食;中餐厅	http://api.map.baidu.com/place/detail?uid=f9a92545c9ce5803b726551c&output=html&source=placeapi_v2			3.3	
101	阿心萨天然水晶茶	三元桥东霞光里66号院远洋新干线	购物;商铺	http://api.map.baidu.com/place/detail?uid=5c56edd66a894643a1d23050&output=html&source=placeapi_v2			5	
102	大益茶	北京市西城区畅柳园小区西门	购物;商铺	http://api.map.baidu.com/place/detail?uid=33bbd5f2f84ee99a9222e07e&output=html&source=placeapi_v2				
103	烟酒茶超市	北京市昌平区	购物;商铺	http://api.map.baidu.com/place/detail?uid=b3e78073b8cbeab117c905c3&output=html&source=placeapi_v2				
104	烟酒茶超市	北京市昌平区政府街西路	购物;商铺	http://api.map.baidu.com/place/detail?uid=426755694ff0184809b93a6d&output=html&source=placeapi_v2			0	
105	烟酒茶商贸超市	大柳树路2号院1	购物;商铺	http://api.map.baidu.com/place/detail?uid=cea111455e8d99ea4457267e&output=html&source=placeapi_v2				
106	烟酒茶超市	海淀区八里庄北里54号	购物;商铺	http://api.map.baidu.com/place/detail?uid=6b6332c6b1fb66c309a8d447&output=html&source=placeapi_v2				
107	诚信烟酒茶	观音寺街与双观巷交叉口东北角	购物;商铺	http://api.map.baidu.com/place/detail?uid=22839212abb21fccbe4842bd&output=html&source=placeapi_v2			2	
108	敬品雅杰烟酒茶	北京市通州区安顺二街31号	购物;商铺	http://api.map.baidu.com/place/detail?uid=08acbb27ca39cb3e8936eee6&output=html&source=placeapi_v2				
109	烟酒茶超市	北京市通州区通惠北路	购物;商铺	http://api.map.baidu.com/place/detail?uid=cf2b84d79866aac855bfff74&output=html&source=placeapi_v2				
110	广易商行烟酒茶	南十里居30	购物;商铺	http://api.map.baidu.com/place/detail?uid=7a7a1b6e185eaf4a82a12e7f&output=html&source=placeapi_v2				
111	都市烟酒烟酒茶	北京市丰台区关家坑中路	购物;商铺	http://api.map.baidu.com/place/detail?uid=174f9f60d6655f373686f41f&output=html&source=placeapi_v2				
112	烟酒茶销售	定安路11号	购物;商铺	http://api.map.baidu.com/place/detail?uid=700e66e2c80c4207f60e776c&output=html&source=placeapi_v2				
113	烟酒茶商贸	角口西里29	购物;商铺	http://api.map.baidu.com/place/detail?uid=54796facb14e894f3310afca&output=html&source=placeapi_v2				
114	烟酒茶直销	北京市密云县新东路241号	购物;商铺	http://api.map.baidu.com/place/detail?uid=f66d72ec702250d9d7b74e4b&output=html&source=placeapi_v2				
115	中国烟酒茶(老君堂店)	十八里店	购物;商铺	http://api.map.baidu.com/place/detail?uid=e49fc5217d40bd82f4b91615&output=html&source=placeapi_v2				
116	精品烟酒茶超市	旧头路31号	购物;商铺	http://api.map.baidu.com/place/detail?uid=f9fd6062f245e4620f0e6b27&output=html&source=placeapi_v2			4.5	
117	烟酒茶行	西直门外高粱桥路上园村甲4号台体宾馆1楼(近炫视界眼镜)	购物;商铺	http://api.map.baidu.com/place/detail?uid=46e86fdd24488012d13ce32a&output=html&source=placeapi_v2				
118	烟酒茶超市	北京市石景山区鲁谷大街41-11	购物;商铺	http://api.map.baidu.com/place/detail?uid=5f406e091c559690a2d2307d&output=html&source=placeapi_v2				
119	烟酒茶专营	北京市大兴区	购物;商铺	http://api.map.baidu.com/place/detail?uid=f4910687954757d9bf484222&output=html&source=placeapi_v2				
120	烟酒茶销售	翠微路38号临16	购物;商铺	http://api.map.baidu.com/place/detail?uid=d6c5d991f12b7be831169ba4&output=html&source=placeapi_v2				
121	烟酒茶直销	文化南街8-6	购物;商铺	http://api.map.baidu.com/place/detail?uid=80a8cbdab0d95895c056ac48&output=html&source=placeapi_v2				
122	烟酒茶商城	绿茵小区商09号	购物;商铺	http://api.map.baidu.com/place/detail?uid=ce87dd81e3582a2d9b68b42b&output=html&source=placeapi_v2				
123	华夏烟酒茶	水南路9-18号	购物;商铺	http://api.map.baidu.com/place/detail?uid=49d95938dbb2e03ec61e5156&output=html&source=placeapi_v2				
124	烟酒茶商城	龙禧苑二区3	购物;商铺	http://api.map.baidu.com/place/detail?uid=51ac1ece21f4e72cf03cba88&output=html&source=placeapi_v2				
125	浩楠烟酒茶	上庄路30号	购物;商铺	http://api.map.baidu.com/place/detail?uid=e2c734e4a3b0bf2015a19024&output=html&source=placeapi_v2				
126	立彬烟酒茶	永顺镇龙旺庄49号	购物;商铺	http://api.map.baidu.com/place/detail?uid=659ccfd1cfcf05a1db131838&output=html&source=placeapi_v2				
127	烟酒茶超市	朝阳路辅路	购物;商铺	http://api.map.baidu.com/place/detail?uid=2fd2beab13c610527bdbd2b2&output=html&source=placeapi_v2				
128	京徽烟酒茶	北京市朝阳区	购物;商铺	http://api.map.baidu.com/place/detail?uid=32e67cff9c67fa4d4c6d46b7&output=html&source=placeapi_v2			5	
129	烟酒茶超市	北京市朝阳区	购物;商铺	http://api.map.baidu.com/place/detail?uid=c64ecc80db30928122022036&output=html&source=placeapi_v2				
130	润德烟酒茶	花家地3	购物;商铺	http://api.map.baidu.com/place/detail?uid=1085d63527d9a1fbcc06a4be&output=html&source=placeapi_v2				
131	中国烟酒茶	来广营西路7号院18	购物;商铺	http://api.map.baidu.com/place/detail?uid=da28cd46e5273e0d78dbd2c2&output=html&source=placeapi_v2			5	
132	鼎鑫烟酒茶	红军营南路16	购物;商铺	http://api.map.baidu.com/place/detail?uid=480b24d0ca6f96f19cec2b79&output=html&source=placeapi_v2				
133	烟酒茶销售	北京市昌平区	购物	http://api.map.baidu.com/place/detail?uid=a19d21a9c71f3a3384420eb3&output=html&source=placeapi_v2				
134	烟酒茶商城	海淀南路7号楼	购物	http://api.map.baidu.com/place/detail?uid=dcd17c3aa6af9af45abbbcaf&output=html&source=placeapi_v2				
135	烟酒茶超市	宝盛里4号	购物;商铺	http://api.map.baidu.com/place/detail?uid=b9e5d0b8375138bc81a12e76&output=html&source=placeapi_v2				
136	华宇烟酒茶	朝阳区麦子店街78号	购物;商铺	http://api.map.baidu.com/place/detail?uid=a1ea105c29869180430245bd&output=html&source=placeapi_v2				
137	烟酒茶超市	石佛营东里132号院2	购物;商铺	http://api.map.baidu.com/place/detail?uid=43b7e8899319476a58f6be44&output=html&source=placeapi_v2			5	
138	烟酒茶超市	八里庄南里8号底商	购物;商铺	http://api.map.baidu.com/place/detail?uid=ba26b13ab35df1504bcc4ac0&output=html&source=placeapi_v2			4	
139	烟酒茶超市	北京市朝阳区关东店北街	购物;商铺	http://api.map.baidu.com/place/detail?uid=7ef7d47f027ecb68a2d23025&output=html&source=placeapi_v2				
140	烟酒茶超市	北京市西城区	购物;商铺	http://api.map.baidu.com/place/detail?uid=3b639f7e0e8f04acfbdc85d0&output=html&source=placeapi_v2				
141	烟酒茶超市	北京市西城区黄寺大街25号院	购物;商铺	http://api.map.baidu.com/place/detail?uid=e61ed1ceace78c94400245eb&output=html&source=placeapi_v2				
142	烟酒茶超市	永安里中街25号临乙25号	购物;商铺	http://api.map.baidu.com/place/detail?uid=5a7002ae711cb46982288acd&output=html&source=placeapi_v2				
143	烟酒茶超市	贡院西街2附近	购物;商铺	http://api.map.baidu.com/place/detail?uid=04c61e90d7553ecef7b91617&output=html&source=placeapi_v2				
144	烟酒茶商行	杨庄南里34-9	购物;商铺	http://api.map.baidu.com/place/detail?uid=511b31a4932ef3c408ccdd2a&output=html&source=placeapi_v2				
145	烟酒茶超市	云景南大街39	购物;商铺	http://api.map.baidu.com/place/detail?uid=cc788fde07462f8a88fc061a&output=html&source=placeapi_v2				
146	烟酒茶超市	北京市朝阳区	购物;商铺	http://api.map.baidu.com/place/detail?uid=a95b523aa2353d25c909f06e&output=html&source=placeapi_v2				
147	烟酒茶超市	北京市通州区潞西路	购物;商铺	http://api.map.baidu.com/place/detail?uid=62aee98d990cd176102935d6&output=html&source=placeapi_v2				
148	烟酒茶专营	北京市通州区漷马路	购物;商铺	http://api.map.baidu.com/place/detail?uid=bcc682674b633f223617dc1a&output=html&source=placeapi_v2				
149	烟酒茶超市	北京市通州区	购物;商铺	http://api.map.baidu.com/place/detail?uid=fd007c5e68996375a8f7296a&output=html&source=placeapi_v2			0	
150	烟酒茶超市	马驹桥镇温馨家园东区2B号楼底商	购物;商铺	http://api.map.baidu.com/place/detail?uid=1ac174d3e8302c5c72210b95&output=html&source=placeapi_v2				
151	烟酒茶商贸	北京市朝阳区	购物	http://api.map.baidu.com/place/detail?uid=7dbefa09b84a130edbeced21&output=html&source=placeapi_v2			0	
152	大益普洱茶	东花市南里东区5号楼B11(尼奥大厦北侧)	购物;商铺	http://api.map.baidu.com/place/detail?uid=28973b5aa1dee3e780a00cdf&output=html&source=placeapi_v2			4.3	
153	烟酒茶超市	右安门外开阳里四区2号楼底商	购物;商铺	http://api.map.baidu.com/place/detail?uid=ef5b1d557089a398970319ed&output=html&source=placeapi_v2				
154	烟酒茶超市	北京市丰台区	购物;商铺	http://api.map.baidu.com/place/detail?uid=cac2c29852a89334b04c490c&output=html&source=placeapi_v2				
155	烟酒茶超市	马家堡东路108号院10号楼111	购物;商铺	http://api.map.baidu.com/place/detail?uid=d7fd2ad3fa090d540bccddda&output=html&source=placeapi_v2			5	
156	烟酒茶超市	丰台区南三环西路6号(南三环西路辅路)	购物;商铺	http://api.map.baidu.com/place/detail?uid=76dda5b5d270cd64ed74f8fc&output=html&source=placeapi_v2				
157	烟酒茶超市	久敬庄路2号	购物;商铺	http://api.map.baidu.com/place/detail?uid=20109ff6447ce9992fb17eca&output=html&source=placeapi_v2				
158	烟酒茶专营	北京市大兴区黄亦路	购物;商铺	http://api.map.baidu.com/place/detail?uid=b388f9fd01634c41b25c6ae3&output=html&source=placeapi_v2				
159	烟酒茶专营	北京市大兴区庑殿路39号2	购物;商铺	http://api.map.baidu.com/place/detail?uid=d7fd2ad368939f570bccdd52&output=html&source=placeapi_v2			3	
160	烟酒茶超市	北京市丰台区警备东路17号	购物;商铺	http://api.map.baidu.com/place/detail?uid=40258755b79994d4b33c81e1&output=html&source=placeapi_v2				
161	烟酒茶专营	北京市大兴区金荣园小区2期	购物	http://api.map.baidu.com/place/detail?uid=1a4414fde83e39ec45e2746a&output=html&source=placeapi_v2			0	
162	烟酒茶超市	上地二街龙泉湖酒店旁边	购物	http://api.map.baidu.com/place/detail?uid=a015f75c7013180fadcb6638&output=html&source=placeapi_v2			3	
163	烟酒茶超市	知春路城铁站西行100米(沃尔玛超市对面、好嫂子刀削面)	购物;商铺	http://api.map.baidu.com/place/detail?uid=c7bc735d6972b8a4f33cba38&output=html&source=placeapi_v2				
164	鑫丰烟酒茶	天兆家园1	购物;商铺	http://api.map.baidu.com/place/detail?uid=f6c6893261e38647eddfca17&output=html&source=placeapi_v2				
165	烟酒茶鲜花	北京市海淀区	购物;商铺	http://api.map.baidu.com/place/detail?uid=3a81b8aa194e5bff9cec2ba0&output=html&source=placeapi_v2			1.5	
166	烟酒茶专营	北京市海淀区北三环西路62号		http://api.map.baidu.com/place/detail?uid=ca0fded583935ff80e3dda66&output=html&source=placeapi_v2				
167	大益普洱茶	北京市海淀区云会里金雅园6号楼107号（底商）	购物;商铺	http://api.map.baidu.com/place/detail?uid=79d6702f563bd7dac909f04a&output=html&source=placeapi_v2			4.6	
168	烟酒茶超市	西三环北路	购物;商铺	http://api.map.baidu.com/place/detail?uid=50f7d1461ea909c472210b56&output=html&source=placeapi_v2				
169	烟酒茶专营	北京市海淀区	购物;商铺	http://api.map.baidu.com/place/detail?uid=d09c12d4c096c9e4f4c59c92&output=html&source=placeapi_v2				
170	烟酒茶商贸	北京市西城区	购物	http://api.map.baidu.com/place/detail?uid=737a8c8971dbe6cad6b74e7c&output=html&source=placeapi_v2				
