"序号","名称","地址","标签","百度链接","电话","营业时间","总体评分","签到数"
21,"茶","北京市通州区","购物","http://api.map.baidu.com/place/detail?uid=ab024cd7483a6319cae33c48&output=html&source=placeapi_v2","","","0",""
22,"茶","东城区永定门外大街景泰公园北侧","购物","http://api.map.baidu.com/place/detail?uid=dcd3cf6a85e65d50d5851f34&output=html&source=placeapi_v2","","","",""
23,"茶","北京市石景山区","美食;茶座","http://api.map.baidu.com/place/detail?uid=c552d52b5d8c1ecd940319a0&output=html&source=placeapi_v2","","","",""
24,"茶","北京市大兴区","购物","http://api.map.baidu.com/place/detail?uid=c3885ccdfa229270c72ba15d&output=html&source=placeapi_v2","","","",""
25,"茶","北京市朝阳区金台路万惠商场(金台里店)1层","购物","http://api.map.baidu.com/place/detail?uid=a41b588deb54176894ec849f&output=html&source=placeapi_v2","","","5",""
26,"茶","北京西城区铁树斜街81号","美食;茶座","http://api.map.baidu.com/place/detail?uid=48ee8fc388a13bbdca09f066&output=html&source=placeapi_v2","","","5",""
27,"茶","北京市朝阳区","美食;茶座","http://api.map.baidu.com/place/detail?uid=ed4a30e8ece3fdbb0ab93a55&output=html&source=placeapi_v2","","","",""
28,"烟酒茶","张凤路","购物;商铺","http://api.map.baidu.com/place/detail?uid=bf3f6ee6141125f095f08c0c&output=html&source=placeapi_v2","","","",""
29,"烟酒茶","长陵营B商12号","购物;商铺","http://api.map.baidu.com/place/detail?uid=fa30d40a0603ba224207c1a5&output=html&source=placeapi_v2","","","",""
30,"烟酒茶","北京市海淀区","购物;商铺","http://api.map.baidu.com/place/detail?uid=b8b806c52010078a8bfc0628&output=html&source=placeapi_v2","","","",""
31,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=50bf419185c48feb1b94c69b&output=html&source=placeapi_v2","","","",""
32,"烟酒茶","北京市海淀区花园路10号","购物;商铺","http://api.map.baidu.com/place/detail?uid=67de9f1da37ef00f90114c9b&output=html&source=placeapi_v2","","","",""
33,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=8fde79cc016d22bc95ca0746&output=html&source=placeapi_v2","","","",""
34,"烟酒茶","北京市大兴区","购物;商铺","http://api.map.baidu.com/place/detail?uid=6dbcf0b74058c822e912e4bf&output=html&source=placeapi_v2","","","0",""
35,"烟酒茶","农大南路33号","购物;商铺","http://api.map.baidu.com/place/detail?uid=ebcff294de4f7e109a00506d&output=html&source=placeapi_v2","","","",""
36,"烟酒茶","北京市石景山区古城南路14栋1层","购物;商铺","http://api.map.baidu.com/place/detail?uid=37a8d9eea67ce8e688b9882f&output=html&source=placeapi_v2","","","",""
37,"烟酒茶","槐柏树街北里","购物","http://api.map.baidu.com/place/detail?uid=b22f2bccbceb7defbea2408a&output=html&source=placeapi_v2","","","5",""
38,"烟酒茶","北京市房山区","购物;商铺","http://api.map.baidu.com/place/detail?uid=7b3719b595b043da931fc93e&output=html&source=placeapi_v2","","","",""
39,"烟酒茶","鼓楼东大街17-13","购物;商铺","http://api.map.baidu.com/place/detail?uid=3f7cfbfcd25d45e4a2046469&output=html&source=placeapi_v2","","","0",""
40,"烟酒茶","北京市昌平区","购物;商铺","http://api.map.baidu.com/place/detail?uid=2abd2b00ca21d1c8cf04efb7&output=html&source=placeapi_v2","","","",""
41,"茶","北京市通州区","购物","http://api.map.baidu.com/place/detail?uid=ab024cd7483a6319cae33c48&output=html&source=placeapi_v2","","","0",""
42,"茶","东城区永定门外大街景泰公园北侧","购物","http://api.map.baidu.com/place/detail?uid=dcd3cf6a85e65d50d5851f34&output=html&source=placeapi_v2","","","",""
43,"茶","北京市石景山区","美食;茶座","http://api.map.baidu.com/place/detail?uid=c552d52b5d8c1ecd940319a0&output=html&source=placeapi_v2","","","",""
44,"茶","北京市大兴区","购物","http://api.map.baidu.com/place/detail?uid=c3885ccdfa229270c72ba15d&output=html&source=placeapi_v2","","","",""
45,"茶","北京市朝阳区金台路万惠商场(金台里店)1层","购物","http://api.map.baidu.com/place/detail?uid=a41b588deb54176894ec849f&output=html&source=placeapi_v2","","","5",""
46,"茶","北京西城区铁树斜街81号","美食;茶座","http://api.map.baidu.com/place/detail?uid=48ee8fc388a13bbdca09f066&output=html&source=placeapi_v2","","","5",""
47,"茶","北京市朝阳区","美食;茶座","http://api.map.baidu.com/place/detail?uid=ed4a30e8ece3fdbb0ab93a55&output=html&source=placeapi_v2","","","",""
48,"烟酒茶","张凤路","购物;商铺","http://api.map.baidu.com/place/detail?uid=bf3f6ee6141125f095f08c0c&output=html&source=placeapi_v2","","","",""
49,"烟酒茶","长陵营B商12号","购物;商铺","http://api.map.baidu.com/place/detail?uid=fa30d40a0603ba224207c1a5&output=html&source=placeapi_v2","","","",""
50,"烟酒茶","北京市海淀区","购物;商铺","http://api.map.baidu.com/place/detail?uid=b8b806c52010078a8bfc0628&output=html&source=placeapi_v2","","","",""
51,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=50bf419185c48feb1b94c69b&output=html&source=placeapi_v2","","","",""
52,"烟酒茶","北京市海淀区花园路10号","购物;商铺","http://api.map.baidu.com/place/detail?uid=67de9f1da37ef00f90114c9b&output=html&source=placeapi_v2","","","",""
53,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=8fde79cc016d22bc95ca0746&output=html&source=placeapi_v2","","","",""
54,"烟酒茶","北京市大兴区","购物;商铺","http://api.map.baidu.com/place/detail?uid=6dbcf0b74058c822e912e4bf&output=html&source=placeapi_v2","","","0",""
55,"烟酒茶","农大南路33号","购物;商铺","http://api.map.baidu.com/place/detail?uid=ebcff294de4f7e109a00506d&output=html&source=placeapi_v2","","","",""
56,"烟酒茶","北京市石景山区古城南路14栋1层","购物;商铺","http://api.map.baidu.com/place/detail?uid=37a8d9eea67ce8e688b9882f&output=html&source=placeapi_v2","","","",""
57,"烟酒茶","槐柏树街北里","购物","http://api.map.baidu.com/place/detail?uid=b22f2bccbceb7defbea2408a&output=html&source=placeapi_v2","","","5",""
58,"烟酒茶","北京市房山区","购物;商铺","http://api.map.baidu.com/place/detail?uid=7b3719b595b043da931fc93e&output=html&source=placeapi_v2","","","",""
59,"烟酒茶","鼓楼东大街17-13","购物;商铺","http://api.map.baidu.com/place/detail?uid=3f7cfbfcd25d45e4a2046469&output=html&source=placeapi_v2","","","0",""
60,"烟酒茶","北京市昌平区","购物;商铺","http://api.map.baidu.com/place/detail?uid=2abd2b00ca21d1c8cf04efb7&output=html&source=placeapi_v2","","","",""
61,"茶","北京市通州区","购物","http://api.map.baidu.com/place/detail?uid=ab024cd7483a6319cae33c48&output=html&source=placeapi_v2","","","0",""
62,"茶","东城区永定门外大街景泰公园北侧","购物","http://api.map.baidu.com/place/detail?uid=dcd3cf6a85e65d50d5851f34&output=html&source=placeapi_v2","","","",""
63,"茶","北京市石景山区","美食;茶座","http://api.map.baidu.com/place/detail?uid=c552d52b5d8c1ecd940319a0&output=html&source=placeapi_v2","","","",""
64,"茶","北京市大兴区","购物","http://api.map.baidu.com/place/detail?uid=c3885ccdfa229270c72ba15d&output=html&source=placeapi_v2","","","",""
65,"茶","北京市朝阳区金台路万惠商场(金台里店)1层","购物","http://api.map.baidu.com/place/detail?uid=a41b588deb54176894ec849f&output=html&source=placeapi_v2","","","5",""
66,"茶","北京西城区铁树斜街81号","美食;茶座","http://api.map.baidu.com/place/detail?uid=48ee8fc388a13bbdca09f066&output=html&source=placeapi_v2","","","5",""
67,"茶","北京市朝阳区","美食;茶座","http://api.map.baidu.com/place/detail?uid=ed4a30e8ece3fdbb0ab93a55&output=html&source=placeapi_v2","","","",""
68,"烟酒茶","张凤路","购物;商铺","http://api.map.baidu.com/place/detail?uid=bf3f6ee6141125f095f08c0c&output=html&source=placeapi_v2","","","",""
69,"烟酒茶","长陵营B商12号","购物;商铺","http://api.map.baidu.com/place/detail?uid=fa30d40a0603ba224207c1a5&output=html&source=placeapi_v2","","","",""
70,"烟酒茶","北京市海淀区","购物;商铺","http://api.map.baidu.com/place/detail?uid=b8b806c52010078a8bfc0628&output=html&source=placeapi_v2","","","",""
71,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=50bf419185c48feb1b94c69b&output=html&source=placeapi_v2","","","",""
72,"烟酒茶","北京市海淀区花园路10号","购物;商铺","http://api.map.baidu.com/place/detail?uid=67de9f1da37ef00f90114c9b&output=html&source=placeapi_v2","","","",""
73,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=8fde79cc016d22bc95ca0746&output=html&source=placeapi_v2","","","",""
74,"烟酒茶","北京市大兴区","购物;商铺","http://api.map.baidu.com/place/detail?uid=6dbcf0b74058c822e912e4bf&output=html&source=placeapi_v2","","","0",""
75,"烟酒茶","农大南路33号","购物;商铺","http://api.map.baidu.com/place/detail?uid=ebcff294de4f7e109a00506d&output=html&source=placeapi_v2","","","",""
76,"烟酒茶","北京市石景山区古城南路14栋1层","购物;商铺","http://api.map.baidu.com/place/detail?uid=37a8d9eea67ce8e688b9882f&output=html&source=placeapi_v2","","","",""
77,"烟酒茶","槐柏树街北里","购物","http://api.map.baidu.com/place/detail?uid=b22f2bccbceb7defbea2408a&output=html&source=placeapi_v2","","","5",""
78,"烟酒茶","北京市房山区","购物;商铺","http://api.map.baidu.com/place/detail?uid=7b3719b595b043da931fc93e&output=html&source=placeapi_v2","","","",""
79,"烟酒茶","鼓楼东大街17-13","购物;商铺","http://api.map.baidu.com/place/detail?uid=3f7cfbfcd25d45e4a2046469&output=html&source=placeapi_v2","","","0",""
80,"烟酒茶","北京市昌平区","购物;商铺","http://api.map.baidu.com/place/detail?uid=2abd2b00ca21d1c8cf04efb7&output=html&source=placeapi_v2","","","",""
81,"茶","北京市通州区","购物","http://api.map.baidu.com/place/detail?uid=ab024cd7483a6319cae33c48&output=html&source=placeapi_v2","","","0",""
82,"茶","东城区永定门外大街景泰公园北侧","购物","http://api.map.baidu.com/place/detail?uid=dcd3cf6a85e65d50d5851f34&output=html&source=placeapi_v2","","","",""
83,"茶","北京市石景山区","美食;茶座","http://api.map.baidu.com/place/detail?uid=c552d52b5d8c1ecd940319a0&output=html&source=placeapi_v2","","","",""
84,"茶","北京市大兴区","购物","http://api.map.baidu.com/place/detail?uid=c3885ccdfa229270c72ba15d&output=html&source=placeapi_v2","","","",""
85,"茶","北京市朝阳区金台路万惠商场(金台里店)1层","购物","http://api.map.baidu.com/place/detail?uid=a41b588deb54176894ec849f&output=html&source=placeapi_v2","","","5",""
86,"茶","北京西城区铁树斜街81号","美食;茶座","http://api.map.baidu.com/place/detail?uid=48ee8fc388a13bbdca09f066&output=html&source=placeapi_v2","","","5",""
87,"茶","北京市朝阳区","美食;茶座","http://api.map.baidu.com/place/detail?uid=ed4a30e8ece3fdbb0ab93a55&output=html&source=placeapi_v2","","","",""
88,"烟酒茶","张凤路","购物;商铺","http://api.map.baidu.com/place/detail?uid=bf3f6ee6141125f095f08c0c&output=html&source=placeapi_v2","","","",""
89,"烟酒茶","长陵营B商12号","购物;商铺","http://api.map.baidu.com/place/detail?uid=fa30d40a0603ba224207c1a5&output=html&source=placeapi_v2","","","",""
90,"烟酒茶","北京市海淀区","购物;商铺","http://api.map.baidu.com/place/detail?uid=b8b806c52010078a8bfc0628&output=html&source=placeapi_v2","","","",""
91,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=50bf419185c48feb1b94c69b&output=html&source=placeapi_v2","","","",""
92,"烟酒茶","北京市海淀区花园路10号","购物;商铺","http://api.map.baidu.com/place/detail?uid=67de9f1da37ef00f90114c9b&output=html&source=placeapi_v2","","","",""
93,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=8fde79cc016d22bc95ca0746&output=html&source=placeapi_v2","","","",""
94,"烟酒茶","北京市大兴区","购物;商铺","http://api.map.baidu.com/place/detail?uid=6dbcf0b74058c822e912e4bf&output=html&source=placeapi_v2","","","0",""
95,"烟酒茶","农大南路33号","购物;商铺","http://api.map.baidu.com/place/detail?uid=ebcff294de4f7e109a00506d&output=html&source=placeapi_v2","","","",""
96,"烟酒茶","北京市石景山区古城南路14栋1层","购物;商铺","http://api.map.baidu.com/place/detail?uid=37a8d9eea67ce8e688b9882f&output=html&source=placeapi_v2","","","",""
97,"烟酒茶","槐柏树街北里","购物","http://api.map.baidu.com/place/detail?uid=b22f2bccbceb7defbea2408a&output=html&source=placeapi_v2","","","5",""
98,"烟酒茶","北京市房山区","购物;商铺","http://api.map.baidu.com/place/detail?uid=7b3719b595b043da931fc93e&output=html&source=placeapi_v2","","","",""
99,"烟酒茶","鼓楼东大街17-13","购物;商铺","http://api.map.baidu.com/place/detail?uid=3f7cfbfcd25d45e4a2046469&output=html&source=placeapi_v2","","","0",""
100,"烟酒茶","北京市昌平区","购物;商铺","http://api.map.baidu.com/place/detail?uid=2abd2b00ca21d1c8cf04efb7&output=html&source=placeapi_v2","","","",""
101,"茶","北京市通州区","购物","http://api.map.baidu.com/place/detail?uid=ab024cd7483a6319cae33c48&output=html&source=placeapi_v2","","","0",""
102,"茶","东城区永定门外大街景泰公园北侧","购物","http://api.map.baidu.com/place/detail?uid=dcd3cf6a85e65d50d5851f34&output=html&source=placeapi_v2","","","",""
103,"茶","北京市石景山区","美食;茶座","http://api.map.baidu.com/place/detail?uid=c552d52b5d8c1ecd940319a0&output=html&source=placeapi_v2","","","",""
104,"茶","北京市大兴区","购物","http://api.map.baidu.com/place/detail?uid=c3885ccdfa229270c72ba15d&output=html&source=placeapi_v2","","","",""
105,"茶","北京市朝阳区金台路万惠商场(金台里店)1层","购物","http://api.map.baidu.com/place/detail?uid=a41b588deb54176894ec849f&output=html&source=placeapi_v2","","","5",""
106,"茶","北京西城区铁树斜街81号","美食;茶座","http://api.map.baidu.com/place/detail?uid=48ee8fc388a13bbdca09f066&output=html&source=placeapi_v2","","","5",""
107,"茶","北京市朝阳区","美食;茶座","http://api.map.baidu.com/place/detail?uid=ed4a30e8ece3fdbb0ab93a55&output=html&source=placeapi_v2","","","",""
108,"烟酒茶","张凤路","购物;商铺","http://api.map.baidu.com/place/detail?uid=bf3f6ee6141125f095f08c0c&output=html&source=placeapi_v2","","","",""
109,"烟酒茶","长陵营B商12号","购物;商铺","http://api.map.baidu.com/place/detail?uid=fa30d40a0603ba224207c1a5&output=html&source=placeapi_v2","","","",""
110,"烟酒茶","北京市海淀区","购物;商铺","http://api.map.baidu.com/place/detail?uid=b8b806c52010078a8bfc0628&output=html&source=placeapi_v2","","","",""
111,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=50bf419185c48feb1b94c69b&output=html&source=placeapi_v2","","","",""
112,"烟酒茶","北京市海淀区花园路10号","购物;商铺","http://api.map.baidu.com/place/detail?uid=67de9f1da37ef00f90114c9b&output=html&source=placeapi_v2","","","",""
113,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=8fde79cc016d22bc95ca0746&output=html&source=placeapi_v2","","","",""
114,"烟酒茶","北京市大兴区","购物;商铺","http://api.map.baidu.com/place/detail?uid=6dbcf0b74058c822e912e4bf&output=html&source=placeapi_v2","","","0",""
115,"烟酒茶","农大南路33号","购物;商铺","http://api.map.baidu.com/place/detail?uid=ebcff294de4f7e109a00506d&output=html&source=placeapi_v2","","","",""
116,"烟酒茶","北京市石景山区古城南路14栋1层","购物;商铺","http://api.map.baidu.com/place/detail?uid=37a8d9eea67ce8e688b9882f&output=html&source=placeapi_v2","","","",""
117,"烟酒茶","槐柏树街北里","购物","http://api.map.baidu.com/place/detail?uid=b22f2bccbceb7defbea2408a&output=html&source=placeapi_v2","","","5",""
118,"烟酒茶","北京市房山区","购物;商铺","http://api.map.baidu.com/place/detail?uid=7b3719b595b043da931fc93e&output=html&source=placeapi_v2","","","",""
119,"烟酒茶","鼓楼东大街17-13","购物;商铺","http://api.map.baidu.com/place/detail?uid=3f7cfbfcd25d45e4a2046469&output=html&source=placeapi_v2","","","0",""
120,"烟酒茶","北京市昌平区","购物;商铺","http://api.map.baidu.com/place/detail?uid=2abd2b00ca21d1c8cf04efb7&output=html&source=placeapi_v2","","","",""
121,"茶","北京市通州区","购物","http://api.map.baidu.com/place/detail?uid=ab024cd7483a6319cae33c48&output=html&source=placeapi_v2","","","0",""
122,"茶","东城区永定门外大街景泰公园北侧","购物","http://api.map.baidu.com/place/detail?uid=dcd3cf6a85e65d50d5851f34&output=html&source=placeapi_v2","","","",""
123,"茶","北京市石景山区","美食;茶座","http://api.map.baidu.com/place/detail?uid=c552d52b5d8c1ecd940319a0&output=html&source=placeapi_v2","","","",""
124,"茶","北京市大兴区","购物","http://api.map.baidu.com/place/detail?uid=c3885ccdfa229270c72ba15d&output=html&source=placeapi_v2","","","",""
125,"茶","北京市朝阳区金台路万惠商场(金台里店)1层","购物","http://api.map.baidu.com/place/detail?uid=a41b588deb54176894ec849f&output=html&source=placeapi_v2","","","5",""
126,"茶","北京西城区铁树斜街81号","美食;茶座","http://api.map.baidu.com/place/detail?uid=48ee8fc388a13bbdca09f066&output=html&source=placeapi_v2","","","5",""
127,"茶","北京市朝阳区","美食;茶座","http://api.map.baidu.com/place/detail?uid=ed4a30e8ece3fdbb0ab93a55&output=html&source=placeapi_v2","","","",""
128,"烟酒茶","张凤路","购物;商铺","http://api.map.baidu.com/place/detail?uid=bf3f6ee6141125f095f08c0c&output=html&source=placeapi_v2","","","",""
129,"烟酒茶","长陵营B商12号","购物;商铺","http://api.map.baidu.com/place/detail?uid=fa30d40a0603ba224207c1a5&output=html&source=placeapi_v2","","","",""
130,"烟酒茶","北京市海淀区","购物;商铺","http://api.map.baidu.com/place/detail?uid=b8b806c52010078a8bfc0628&output=html&source=placeapi_v2","","","",""
131,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=50bf419185c48feb1b94c69b&output=html&source=placeapi_v2","","","",""
132,"烟酒茶","北京市海淀区花园路10号","购物;商铺","http://api.map.baidu.com/place/detail?uid=67de9f1da37ef00f90114c9b&output=html&source=placeapi_v2","","","",""
133,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=8fde79cc016d22bc95ca0746&output=html&source=placeapi_v2","","","",""
134,"烟酒茶","北京市大兴区","购物;商铺","http://api.map.baidu.com/place/detail?uid=6dbcf0b74058c822e912e4bf&output=html&source=placeapi_v2","","","0",""
135,"烟酒茶","农大南路33号","购物;商铺","http://api.map.baidu.com/place/detail?uid=ebcff294de4f7e109a00506d&output=html&source=placeapi_v2","","","",""
136,"烟酒茶","北京市石景山区古城南路14栋1层","购物;商铺","http://api.map.baidu.com/place/detail?uid=37a8d9eea67ce8e688b9882f&output=html&source=placeapi_v2","","","",""
137,"烟酒茶","槐柏树街北里","购物","http://api.map.baidu.com/place/detail?uid=b22f2bccbceb7defbea2408a&output=html&source=placeapi_v2","","","5",""
138,"烟酒茶","北京市房山区","购物;商铺","http://api.map.baidu.com/place/detail?uid=7b3719b595b043da931fc93e&output=html&source=placeapi_v2","","","",""
139,"烟酒茶","鼓楼东大街17-13","购物;商铺","http://api.map.baidu.com/place/detail?uid=3f7cfbfcd25d45e4a2046469&output=html&source=placeapi_v2","","","0",""
140,"烟酒茶","北京市昌平区","购物;商铺","http://api.map.baidu.com/place/detail?uid=2abd2b00ca21d1c8cf04efb7&output=html&source=placeapi_v2","","","",""
141,"茶","北京市通州区","购物","http://api.map.baidu.com/place/detail?uid=ab024cd7483a6319cae33c48&output=html&source=placeapi_v2","","","0",""
142,"茶","东城区永定门外大街景泰公园北侧","购物","http://api.map.baidu.com/place/detail?uid=dcd3cf6a85e65d50d5851f34&output=html&source=placeapi_v2","","","",""
143,"茶","北京市石景山区","美食;茶座","http://api.map.baidu.com/place/detail?uid=c552d52b5d8c1ecd940319a0&output=html&source=placeapi_v2","","","",""
144,"茶","北京市大兴区","购物","http://api.map.baidu.com/place/detail?uid=c3885ccdfa229270c72ba15d&output=html&source=placeapi_v2","","","",""
145,"茶","北京市朝阳区金台路万惠商场(金台里店)1层","购物","http://api.map.baidu.com/place/detail?uid=a41b588deb54176894ec849f&output=html&source=placeapi_v2","","","5",""
146,"茶","北京西城区铁树斜街81号","美食;茶座","http://api.map.baidu.com/place/detail?uid=48ee8fc388a13bbdca09f066&output=html&source=placeapi_v2","","","5",""
147,"茶","北京市朝阳区","美食;茶座","http://api.map.baidu.com/place/detail?uid=ed4a30e8ece3fdbb0ab93a55&output=html&source=placeapi_v2","","","",""
148,"烟酒茶","张凤路","购物;商铺","http://api.map.baidu.com/place/detail?uid=bf3f6ee6141125f095f08c0c&output=html&source=placeapi_v2","","","",""
149,"烟酒茶","长陵营B商12号","购物;商铺","http://api.map.baidu.com/place/detail?uid=fa30d40a0603ba224207c1a5&output=html&source=placeapi_v2","","","",""
150,"烟酒茶","北京市海淀区","购物;商铺","http://api.map.baidu.com/place/detail?uid=b8b806c52010078a8bfc0628&output=html&source=placeapi_v2","","","",""
151,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=50bf419185c48feb1b94c69b&output=html&source=placeapi_v2","","","",""
152,"烟酒茶","北京市海淀区花园路10号","购物;商铺","http://api.map.baidu.com/place/detail?uid=67de9f1da37ef00f90114c9b&output=html&source=placeapi_v2","","","",""
153,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=8fde79cc016d22bc95ca0746&output=html&source=placeapi_v2","","","",""
154,"烟酒茶","北京市大兴区","购物;商铺","http://api.map.baidu.com/place/detail?uid=6dbcf0b74058c822e912e4bf&output=html&source=placeapi_v2","","","0",""
155,"烟酒茶","农大南路33号","购物;商铺","http://api.map.baidu.com/place/detail?uid=ebcff294de4f7e109a00506d&output=html&source=placeapi_v2","","","",""
156,"烟酒茶","北京市石景山区古城南路14栋1层","购物;商铺","http://api.map.baidu.com/place/detail?uid=37a8d9eea67ce8e688b9882f&output=html&source=placeapi_v2","","","",""
157,"烟酒茶","槐柏树街北里","购物","http://api.map.baidu.com/place/detail?uid=b22f2bccbceb7defbea2408a&output=html&source=placeapi_v2","","","5",""
158,"烟酒茶","北京市房山区","购物;商铺","http://api.map.baidu.com/place/detail?uid=7b3719b595b043da931fc93e&output=html&source=placeapi_v2","","","",""
159,"烟酒茶","鼓楼东大街17-13","购物;商铺","http://api.map.baidu.com/place/detail?uid=3f7cfbfcd25d45e4a2046469&output=html&source=placeapi_v2","","","0",""
160,"烟酒茶","北京市昌平区","购物;商铺","http://api.map.baidu.com/place/detail?uid=2abd2b00ca21d1c8cf04efb7&output=html&source=placeapi_v2","","","",""
161,"茶","北京市通州区","购物","http://api.map.baidu.com/place/detail?uid=ab024cd7483a6319cae33c48&output=html&source=placeapi_v2","","","0",""
162,"茶","东城区永定门外大街景泰公园北侧","购物","http://api.map.baidu.com/place/detail?uid=dcd3cf6a85e65d50d5851f34&output=html&source=placeapi_v2","","","",""
163,"茶","北京市石景山区","美食;茶座","http://api.map.baidu.com/place/detail?uid=c552d52b5d8c1ecd940319a0&output=html&source=placeapi_v2","","","",""
164,"茶","北京市大兴区","购物","http://api.map.baidu.com/place/detail?uid=c3885ccdfa229270c72ba15d&output=html&source=placeapi_v2","","","",""
165,"茶","北京市朝阳区金台路万惠商场(金台里店)1层","购物","http://api.map.baidu.com/place/detail?uid=a41b588deb54176894ec849f&output=html&source=placeapi_v2","","","5",""
166,"茶","北京西城区铁树斜街81号","美食;茶座","http://api.map.baidu.com/place/detail?uid=48ee8fc388a13bbdca09f066&output=html&source=placeapi_v2","","","5",""
167,"茶","北京市朝阳区","美食;茶座","http://api.map.baidu.com/place/detail?uid=ed4a30e8ece3fdbb0ab93a55&output=html&source=placeapi_v2","","","",""
168,"烟酒茶","张凤路","购物;商铺","http://api.map.baidu.com/place/detail?uid=bf3f6ee6141125f095f08c0c&output=html&source=placeapi_v2","","","",""
169,"烟酒茶","长陵营B商12号","购物;商铺","http://api.map.baidu.com/place/detail?uid=fa30d40a0603ba224207c1a5&output=html&source=placeapi_v2","","","",""
170,"烟酒茶","北京市海淀区","购物;商铺","http://api.map.baidu.com/place/detail?uid=b8b806c52010078a8bfc0628&output=html&source=placeapi_v2","","","",""
