"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
74,"永供茶庄","永乐店镇永乐大街133号","(010)69560280","购物;商铺","http://api.map.baidu.com/place/detail?uid=40e336e312db2b9eeb56fa6d&output=html&source=placeapi_v2","6","","",""
75,"云龙茶庄","永乐店镇","","购物;商铺","http://api.map.baidu.com/place/detail?uid=ffd6d4030f33718f17b54b60&output=html&source=placeapi_v2","1","","",""
76,"吴裕泰茶庄","云岗北区东里1号侧","(010)83310841","购物;商铺","http://api.map.baidu.com/place/detail?uid=4fc3161a89e43eb03b13fd86&output=html&source=placeapi_v2","6","","2.7",""
77,"春泉茶楼","北京市丰台区福宫路64号","15810093772","美食;茶座","http://api.map.baidu.com/place/detail?uid=060f5e53e272d1ce081cc750&output=html&source=placeapi_v2","12","","4.3",""
78,"金泉叶茶庄","福宫路42附近","","购物","http://api.map.baidu.com/place/detail?uid=13c744f4b66d64e5430245cd&output=html&source=placeapi_v2","1","","0",""
79,"京徽茶庄","云岗南宫新商业街15号","","购物","http://api.map.baidu.com/place/detail?uid=a72b6c750d441d2014c8f61a&output=html&source=placeapi_v2","1","","",""
80,"张一元茶庄","北京丰台区长辛店朱家坟五里2号院44号","(010)51158822","购物;商铺","http://api.map.baidu.com/place/detail?uid=750ec165e554d9324d3a59aa&output=html&source=placeapi_v2","3","","4",""
81,"吴裕泰茶庄(长阳店)","篱笆房地铁奥特莱斯广场SQ-06(近篱笆房地铁)","(010)80360188","购物;商铺","http://api.map.baidu.com/place/detail?uid=ff4a9355306ece63f4e73b3b&output=html&source=placeapi_v2","16","","5",""
82,"永兴茶庄","北京丰台区云岗路","","购物;商铺","http://api.map.baidu.com/place/detail?uid=34059f97e160935471455b3f&output=html&source=placeapi_v2","3","","5",""
83,"吴裕泰茶庄狼垡店","黄村镇狼垡二村长丰园一区23号楼4号吴裕泰茶庄","010-61228116","购物;商铺","http://api.map.baidu.com/place/detail?uid=6f679a374d52966e81a12eb3&output=html&source=placeapi_v2","5","","",""
84,"京闽茶庄(马连道:狼垡分店)","长丰园二区3狼垡东路","13041159235","购物;商铺","http://api.map.baidu.com/place/detail?uid=4d1ba678601afcf1f942b2cb&output=html&source=placeapi_v2","3","","",""
85,"润众祥茶庄","北京市大兴区","","美食;茶座","http://api.map.baidu.com/place/detail?uid=b738f3273ce9e83759bbbc12&output=html&source=placeapi_v2","1","","",""
86,"吴裕泰茶庄","槐房西路南庭新苑A17-15","(010)67975122","购物;商铺","http://api.map.baidu.com/place/detail?uid=a39096b47bcd2f915d0d025e&output=html&source=placeapi_v2","3","","",""
87,"吴裕泰茶庄","北兴路7号吉星德亿家居广场","(010)60293726","购物;商铺","http://api.map.baidu.com/place/detail?uid=53f7beabe9b0106cbca8221c&output=html&source=placeapi_v2","4","","4",""
88,"仚人和茶庄","北京市大兴区兴华大街(二段)19号院12","","美食;茶座","http://api.map.baidu.com/place/detail?uid=cd22f37dc22ece9bf503b8c7&output=html&source=placeapi_v2","3","","",""
89,"仙人和茶庄","北京市大兴区","","购物;商铺","http://api.map.baidu.com/place/detail?uid=8dd01b9a0a681cc64557264d&output=html&source=placeapi_v2","1","","",""
90,"天赐茶庄","兴华大街附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=c08a344818c45efb04fef5c5&output=html&source=placeapi_v2","5","","",""
91,"千里香茶庄","兴华大街附近","","购物","http://api.map.baidu.com/place/detail?uid=5fa7804a46264e570869d90c&output=html&source=placeapi_v2","1","","",""
92,"香茗茶庄(精品购物中心南)","乐园路附近","","购物","http://api.map.baidu.com/place/detail?uid=bed327288e9bc692f6c59c7e&output=html&source=placeapi_v2","2","","",""
93,"七品茶庄","北京市大兴区南西路","","美食","http://api.map.baidu.com/place/detail?uid=f81570cb3b5c036dbe48422f&output=html&source=placeapi_v2","1","","",""
94,"张一元茶庄东高地分店","丰台区东高地梅园小区44号楼","(010)68759547","购物;商铺","http://api.map.baidu.com/place/detail?uid=4ea3f2f185d050b3afcb668c&output=html&source=placeapi_v2","5","","4.3",""
95,"龙首茶庄","北京大兴区清和园公交车站路南(近清乐园底商10号)","13910675848","购物;商铺","http://api.map.baidu.com/place/detail?uid=15e1e85e068b14df58109330&output=html&source=placeapi_v2","11","","5",""
96,"吴裕泰茶庄(南苑店)","南苑路与龙河路交叉口西100米路南","(010)67940263","购物;商铺","http://api.map.baidu.com/place/detail?uid=b137775ae4ad769bb6f42f3a&output=html&source=placeapi_v2","19","","",""
97,"品香源茶庄","北京市大兴区团河路","13681044312","购物;商铺","http://api.map.baidu.com/place/detail?uid=962c34a1e4eb0fa0fda778e9&output=html&source=placeapi_v2","7","","",""
98,"张一元茶庄(和义店)","商房南排3号(近首航超市)","(010)67957530","购物;商铺","http://api.map.baidu.com/place/detail?uid=a7c56ee02bac4faaa3acc46c&output=html&source=placeapi_v2","15","","",""
99,"信和茶庄","槐房路同兴园小区东门对过","","购物;商铺","http://api.map.baidu.com/place/detail?uid=596fca59a61eedbd26e0a0cb&output=html&source=placeapi_v2","2","","2",""
100,"福兴德茶庄东高地店","万源路","","购物;商铺","http://api.map.baidu.com/place/detail?uid=49a27606e727b4d9077ce873&output=html&source=placeapi_v2","8","","",""
101,"沁园茶庄","南小街南路武汉热干面对面","","购物;商铺","http://api.map.baidu.com/place/detail?uid=f5f71cfed60177128936ee75&output=html&source=placeapi_v2","4","","",""
102,"张一元茶庄亦庄店","天华西路与北环西路交叉口旁(富驿时尚酒店旁)","(010)67863595","购物;商铺","http://api.map.baidu.com/place/detail?uid=46e86fdd99976576d13ce352&output=html&source=placeapi_v2","14","","3.9",""
103,"张一元茶庄亦庄天宝园分店","大兴区亦庄经济技术开发区天宝南街(上海沙龙新天地商业中心D1)","(010)67820930","购物;商铺","http://api.map.baidu.com/place/detail?uid=c5ddcc085d086edfd8131810&output=html&source=placeapi_v2","12","","3.9",""
104,"山水悦岩茶坊","大兴区亦庄经济技术开发区天宝中路上海沙龙商业二期02G016","(010)67809295","美食;茶座","http://api.map.baidu.com/place/detail?uid=d6c5d99140758af130169b55&output=html&source=placeapi_v2","203","","4.8",""
105,"金唐园茶楼","北京经济技术开发区亦庄开发区中央公馆10号楼b0底商","","美食;茶座","http://api.map.baidu.com/place/detail?uid=9b01e9766b43be25ad080fb5&output=html&source=placeapi_v2","3","","",""
106,"吴裕泰茶庄","北京市大兴区亦庄荣京道项目A1号楼103号商铺","(010)67856351","购物;商铺","http://api.map.baidu.com/place/detail?uid=58065d7f9ce9b03008f5eb0e&output=html&source=placeapi_v2","2","","",""
107,"张一元茶庄旧宫店","大兴区旧宫镇佳和园底商2-6号(物美商城路口东北角)","(010)87967991","购物;商铺","http://api.map.baidu.com/place/detail?uid=6835e3a76ed90933e31103d1&output=html&source=placeapi_v2","9","","3.8",""
108,"吴裕泰茶庄","北京市大兴区旧宫镇小红门路39号永辉超市1楼(近宣颐家园)","010-53712600","购物;商铺","http://api.map.baidu.com/place/detail?uid=d5f93c0e92663f45eddfca15&output=html&source=placeapi_v2","8","","4",""
109,"吴裕泰茶庄(旧宫店)","旧宫西路清逸西园1号楼底商","010-87972758","购物;商铺","http://api.map.baidu.com/place/detail?uid=101bc61b42d395bac42ba126&output=html&source=placeapi_v2","18","","3.1",""
110,"裕兴茶庄","旧宫东路重庆麻辣烫旁","","购物;商铺","http://api.map.baidu.com/place/detail?uid=d305db1f909c0b27922ca3b0&output=html&source=placeapi_v2","6","","",""
111,"吴裕泰茶庄(亦庄店)","北京市大兴区经济开发区荣华中路7号院国融国际底商","010-67830284","购物;商铺","http://api.map.baidu.com/place/detail?uid=78bd50f72f51d64230870ae0&output=html&source=placeapi_v2","8","","4.7",""
112,"张一元茶庄亦庄泰河园分店","北京市大兴区博兴六路中房生活广场1层","(010)56241766","购物;商铺","http://api.map.baidu.com/place/detail?uid=6e7505f2d701d2001b11d5f4&output=html&source=placeapi_v2","3","","",""
113,"吴欲泰茶庄","台湖镇次渠怡芳园小区底商","010-69502077","购物;商铺","http://api.map.baidu.com/place/detail?uid=d2ec7c09fdf9e509c5effbbe&output=html&source=placeapi_v2","28","","5",""
114,"春晓茶庄","北京市通州区玉江家园东门","","购物;商铺","http://api.map.baidu.com/place/detail?uid=5e60a70c9188d6ab3f9a5e09&output=html&source=placeapi_v2","3","","",""
115,"绿春茶庄","潞西路北50米","(010)69582875","购物;商铺","http://api.map.baidu.com/place/detail?uid=863d820835eaf3d2901fc942&output=html&source=placeapi_v2","1","","",""
116,"康泰堂茶庄","北京市通州区","","购物;商铺","http://api.map.baidu.com/place/detail?uid=2777488bd3b6ed3dd4851f74&output=html&source=placeapi_v2","1","","",""
117,"鸿运来茶庄","长陵营A商13","(010)69412536","购物;商铺","http://api.map.baidu.com/place/detail?uid=f1f5cac594f0b19836b06c1e&output=html&source=placeapi_v2","5","","",""
118,"梓艺茶庄","漷县镇绿荫西区2号1号门附近","","美食","http://api.map.baidu.com/place/detail?uid=be68957f8b9d3ffc081cc7ee&output=html&source=placeapi_v2","1","","",""
119,"鸿运来茶庄","北京市通州区","","美食","http://api.map.baidu.com/place/detail?uid=d2fc36525e665c31b5f42fda&output=html&source=placeapi_v2","1","","",""
120,"风云茶庄","青龙湖镇西石府村","","购物;商铺","http://api.map.baidu.com/place/detail?uid=ae43adac4e7e93f84c6d464e&output=html&source=placeapi_v2","1","","",""
121,"宛平奇石茶楼","城内街2号","","美食;茶座","http://api.map.baidu.com/place/detail?uid=79cceb366c304ff71f5800a8&output=html&source=placeapi_v2","9","","4",""
122,"北厂茶庄","北京丰台区张郭庄南路42号","13718179802","购物;商铺","http://api.map.baidu.com/place/detail?uid=d991e11694f267281f38943a&output=html&source=placeapi_v2","7","","",""
123,"元亨号茶庄","长辛店大街104号附近","(010)83868983","美食;咖啡厅","http://api.map.baidu.com/place/detail?uid=0f0ab0dfec8440d2c51e5135&output=html&source=placeapi_v2","1","","4",""
124,"浙江金华茶庄","北京丰台区长辛店大街72号","(010)83875957","购物;商铺","http://api.map.baidu.com/place/detail?uid=dffd4642d1efb0b23c9a5e3f&output=html&source=placeapi_v2","4","","",""
125,"一顺龙茶庄","北京丰台区长辛店大街185号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=9f97b1c5194d4906b64f543f&output=html&source=placeapi_v2","1","","",""
126,"众品德茶庄","长辛店大街246附近","","购物","http://api.map.baidu.com/place/detail?uid=679a9dbdfaad42d53fe231b0&output=html&source=placeapi_v2","2","","",""
127,"兴正茶庄","长辛店大街139附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=f4639944b5a6864a4e5547b7&output=html&source=placeapi_v2","3","","5",""
128,"瑞闽丰茶庄","北京丰台区长辛店大街","13141377029","购物;商铺","http://api.map.baidu.com/place/detail?uid=2848ffd65601ca7249cc4a99&output=html&source=placeapi_v2","5","","",""
129,"张一元茶庄(怡海花园店)","丰台区怡海花园怡海路3-02号(近欧尚超市)","(010)63753287","购物;商铺","http://api.map.baidu.com/place/detail?uid=46e86fdd8e1b6e76d13ce3d6&output=html&source=placeapi_v2","12","","4.5",""
130,"张一元茶庄桥南店","丰台区丰台南路116号院4号楼(中国烟草)","(010)63751183","购物;商铺","http://api.map.baidu.com/place/detail?uid=00f1c7fbad52b706c056acc9&output=html&source=placeapi_v2","6","","5",""
131,"吴裕泰茶莊","北京市丰台区丰台镇新华街五里4号楼","010-63788805","购物;商铺","http://api.map.baidu.com/place/detail?uid=2ad32cc3aedec2969c95de86&output=html&source=placeapi_v2","10","","4.6",""
132,"张一元茶庄(卢沟桥店)","北京市丰台区卢沟桥南里10号楼4楼底商1层3号(新月家园4楼底商)","(010)83200688","购物;商铺","http://api.map.baidu.com/place/detail?uid=c8e8f6333209f675ab0dd855&output=html&source=placeapi_v2","9","","4",""
133,"峨眉千佛茶楼","北京丰台区南四环西路188号三区12号楼","","美食;茶座","http://api.map.baidu.com/place/detail?uid=c43d64b48188c228d72ce2a9&output=html&source=placeapi_v2","1","","",""
134,"吴裕泰茶庄","卢沟桥晓月中路新月家园底商（新月家园小区）","010-83218288","购物;商铺","http://api.map.baidu.com/place/detail?uid=5e2c92eb3ea86d912bb97c03&output=html&source=placeapi_v2","8","","3",""
135,"吴裕泰茶庄(东大街店)","北京市丰台区丰台东大街游泳场顺天府超市南侧","010-63811334","购物;商铺","http://api.map.baidu.com/place/detail?uid=480b24d0eea8fa8c9cec2b3f&output=html&source=placeapi_v2","5","","",""
136,"京华茶庄","新华街向阳街交叉路口向北100路东","15010566209","购物;商铺","http://api.map.baidu.com/place/detail?uid=23f5ca3f39485487465726f0&output=html&source=placeapi_v2","4","","",""
137,"闽春茶庄","看丹路13-5号","13661165878","购物","http://api.map.baidu.com/place/detail?uid=97a0bb193d7fba6c6140a919&output=html&source=placeapi_v2","7","","5",""
138,"茗悦茶庄","北京市丰台区","","购物;商铺","http://api.map.baidu.com/place/detail?uid=b9e006947becac51ab0dd8ea&output=html&source=placeapi_v2","3","","",""
139,"吴裕泰茶庄","丰台区草桥东路16-4","(010)67504422","购物;商铺","http://api.map.baidu.com/place/detail?uid=a7c56ee0401632aaa2acc486&output=html&source=placeapi_v2","12","","5",""
140,"张一元茶庄","北京市丰台区草桥欣园一区五号楼S03号","010-87583363","购物;商铺","http://api.map.baidu.com/place/detail?uid=1eeed546b82697ebb5147fd9&output=html&source=placeapi_v2","8","","4.1",""
